name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Derrick Henry,1,BAL,13,46,1,2,0,0,0
Justice Hill,1,BAL,1,3,0,8,6,52,0
Chase Brown,2,CIN,4,31,0,0,0,0,0
Zack Moss,2,CIN,12,34,0,1,1,13,0
Tyler Allgeier,3,ATL,7,32,0,0,0,0,0
Bijan Robinson,3,ATL,16,31,1,2,2,21,0
J.K. Dobbins,4,LAC,14,32,0,4,3,30,0
Gus Edwards,4,LAC,6,19,0,0,0,0,0
Alvin Kamara,5,NO,11,26,0,8,6,40,0
Jamaal Williams,5,NO,2,9,0,0,0,0,0
Isaac Guerendo,7,SF,1,2,0,1,1,5,0
Kyle Juszczyk,7,SF,1,14,0,3,0,0,0
Jordan Mason,7,SF,14,58,0,2,2,11,0
Ameer Abdullah,8,LV,1,2,0,2,1,9,0
Alexander Mattison,8,LV,14,15,0,5,5,29,0
Zamir White,8,LV,2,-1,0,0,0,0,0
Bucky Irving,9,TB,7,24,0,3,3,10,0
Sean Tucker,9,TB,3,11,0,1,1,6,0
Rachaad White,9,TB,3,19,1,3,3,16,0
Audric Estime,10,DEN,14,53,0,0,0,0,0
Jaleel McLaughlin,10,DEN,2,12,0,0,0,0,0
Javonte Williams,10,DEN,1,1,0,2,2,6,0
James Cook,11,BUF,9,20,2,6,5,7,0
Ray Davis,11,BUF,5,11,0,0,0,0,0
Ty Johnson,11,BUF,5,18,0,1,0,0,0
Jonathon Brooks,12,CAR,2,7,0,0,0,0,0
Chuba Hubbard,12,CAR,16,58,1,5,1,2,0
Ameer Abdullah,13,LV,10,39,0,2,2,14,0
Sincere McCormick,13,LV,12,64,0,2,2,1,0
Gus Edwards,14,LAC,10,36,1,0,0,0,0
Kimani Vidal,14,LAC,8,34,0,1,0,0,0
Nick Chubb,15,CLE,9,41,0,1,0,0,0
Jerome Ford,15,CLE,7,84,1,2,2,20,0
Joe Mixon,16,HOU,14,57,0,2,1,14,0
Dare Ogunbowale,16,HOU,0,0,0,2,0,0,0
Dameon Pierce,16,HOU,1,4,0,0,0,0,0
Najee Harris,17,PIT,13,74,0,4,2,7,0
Cordarrelle Patterson,17,PIT,1,2,0,0,0,0,0
Jaylen Warren,17,PIT,11,71,0,6,5,41,0
Michael Burton,18,DEN,1,3,0,0,0,0,0
Audric Estime,18,DEN,12,34,1,0,0,0,0
Jaleel McLaughlin,18,DEN,16,39,0,2,2,9,0
Javonte Williams,18,DEN,5,28,0,4,3,50,0
Joe Mixon,20,HOU,18,88,1,3,2,12,0
Dare Ogunbowale,20,HOU,1,9,0,1,1,0,0
Dameon Pierce,20,HOU,4,10,0,1,0,0,0
James Cook,21,BUF,13,85,2,3,3,49,0
Ray Davis,21,BUF,2,4,0,0,0,0,0
Ty Johnson,21,BUF,6,19,0,1,1,0,0
Saquon Barkley,22,PHI,25,57,0,7,6,40,0
Kenneth Gainwell,22,PHI,6,10,0,0,0,0,0
