name,week,team,targ,rec,recyd,rectd
Mark Andrews,1,BAL,2,2,14,0
Isaiah Likely,1,BAL,12,9,111,1
Erick All Jr.,2,CIN,4,4,32,0
Mike Gesicki,2,CIN,9,7,91,0
Drew Sample,2,CIN,3,3,28,0
Kyle Pitts,3,ATL,5,2,59,0
Will Dissly,4,LAC,3,2,24,0
Hayden Hurst,4,LAC,3,1,6,0
Juwan Johnson,5,NO,5,5,31,0
Foster Moreau,5,NO,2,2,13,1
George Kittle,7,SF,7,6,92,0
Brock Bowers,8,LV,5,5,58,0
John Samuel Shenker,8,LV,1,1,7,0
Ryan Miller,9,TB,3,1,1,1
Cade Otton,9,TB,11,8,77,1
Lucas Krull,10,DEN,2,2,21,0
Adam Trautman,10,DEN,1,1,34,0
Zach Davidson,11,BUF,1,1,5,0
Dawson Knox,11,BUF,6,4,40,0
Quintin Morris,11,BUF,1,0,0,0
Ja'Tavion Sanders,12,CAR,3,3,49,0
Tommy Tremble,12,CAR,2,1,5,0
Brock Bowers,13,LV,14,10,140,1
Michael Mayer,13,LV,2,1,5,0
Will Dissly,14,LAC,2,2,19,0
Tucker Fisk,14,LAC,1,1,0,0
Stone Smartt,14,LAC,3,3,54,0
Jordan Akins,15,CLE,4,3,30,0
Blake Whiteheart,15,CLE,1,0,0,0
Andrew Beck,16,HOU,1,0,0,0
Dalton Schultz,16,HOU,8,5,45,1
Pat Freiermuth,17,PIT,8,7,60,0
Connor Heyward,17,PIT,1,1,8,0
Darnell Washington,17,PIT,1,1,8,0
Nate Adkins,18,DEN,3,3,25,0
Dalton Schultz,20,HOU,4,4,63,0
Irv Smith,20,HOU,1,1,2,0
Dalton Kincaid,21,BUF,4,2,13,0
Dawson Knox,21,BUF,1,1,7,0
Dallas Goedert,22,PHI,2,2,27,0
