name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Gardner Minshew II,1,LV,25,33,257,1,1,3,5,0
Bryce Young,2,CAR,18,26,84,0,1,1,6,0
Justin Fields,3,PIT,25,32,245,1,1,6,6,1
Patrick Mahomes,4,KC,19,29,245,1,1,5,12,0
Bo Nix,6,DEN,19,33,216,2,1,6,61,0
Kyler Murray,7,ARI,14,26,145,1,1,6,64,1
Clayton Tune,7,ARI,0,0,0,0,0,3,2,0
Jake Haener,8,NO,9,17,122,0,0,2,10,0
Spencer Rattler,8,NO,12,24,156,0,0,0,0,0
Jameis Winston,9,CLE,26,46,235,1,3,5,27,0
Will Levis,10,TEN,18,23,175,2,0,5,41,0
Joe Burrow,11,CIN,28,50,356,3,0,2,28,0
Lamar Jackson,12,BAL,16,22,177,2,0,8,15,1
Kirk Cousins,13,ATL,24,39,245,0,4,1,3,0
Patrick Mahomes,14,KC,24,37,210,1,0,4,17,0
Baker Mayfield,15,TB,22,27,288,4,1,2,25,0
Bo Nix,16,DEN,29,40,263,2,0,3,25,0
Jacoby Brissett,17,NE,1,2,-2,0,0,0,0,0
Drake Maye,17,NE,12,22,117,1,0,6,32,0
Aidan O'Connell,18,LV,24,34,214,2,1,4,13,0
Desmond Ridder,18,LV,1,2,11,0,0,0,0,0
C.J. Stroud,19,HOU,22,33,282,1,1,6,42,0
