name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Alexander Mattison,1,LV,5,19,0,6,4,43,1
Zamir White,1,LV,13,44,0,2,2,2,0
Chuba Hubbard,2,CAR,10,64,0,5,4,12,0
Miles Sanders,2,CAR,7,20,0,3,3,5,0
Najee Harris,3,PIT,18,70,0,5,5,16,0
Cordarrelle Patterson,3,PIT,4,33,0,5,3,15,0
Jaylen Warren,3,PIT,3,5,0,1,1,-4,0
Kareem Hunt,4,KC,14,69,0,3,2,16,0
Samaje Perine,4,KC,5,14,1,0,0,0,0
Carson Steele,4,KC,2,6,0,3,1,0,0
Audric Estime,6,DEN,2,13,0,0,0,0,0
Jaleel McLaughlin,6,DEN,3,8,0,2,2,17,0
Javonte Williams,6,DEN,6,23,0,6,3,13,0
James Conner,7,ARI,19,101,0,4,2,51,0
Emari Demercado,7,ARI,1,14,0,0,0,0,0
Alvin Kamara,8,NO,10,67,0,11,6,55,0
Kendre Miller,8,NO,3,16,0,0,0,0,0
Adam Prentice,8,NO,0,0,0,1,0,0,0
Jamaal Williams,8,NO,2,4,0,0,0,0,0
Nick Chubb,9,CLE,15,39,0,1,1,-4,0
Jerome Ford,9,CLE,2,5,0,3,1,2,0
Pierre Strong Jr.,9,CLE,2,8,0,0,0,0,0
Tony Pollard,10,TEN,9,44,0,4,4,19,0
Tyjae Spears,10,TEN,7,47,0,3,3,4,0
Chase Brown,11,CIN,22,86,0,7,5,57,0
Derrick Henry,12,BAL,24,140,0,0,0,0,0
Justice Hill,12,BAL,4,55,1,2,2,7,0
Tyler Allgeier,13,ATL,8,16,0,1,1,6,0
Bijan Robinson,13,ATL,26,102,1,6,6,33,0
Kareem Hunt,14,KC,5,16,0,1,1,13,0
Isiah Pacheco,14,KC,14,55,0,4,2,6,0
Samaje Perine,14,KC,1,3,0,2,1,16,0
Bucky Irving,15,TB,15,117,0,2,2,-4,0
Sean Tucker,15,TB,7,17,0,0,0,0,0
Rachaad White,15,TB,15,64,0,2,2,17,1
Michael Burton,16,DEN,0,0,0,3,3,19,1
Audric Estime,16,DEN,9,48,1,0,0,0,0
Blake Watson,16,DEN,4,10,0,2,1,13,0
Javonte Williams,16,DEN,4,24,0,11,7,29,0
Antonio Gibson,17,NE,12,63,0,1,0,0,0
Rhamondre Stevenson,17,NE,2,1,0,1,0,0,0
Chris Collier,18,LV,2,6,0,2,1,-4,0
Alexander Mattison,18,LV,6,20,0,5,4,11,0
Joe Mixon,19,HOU,25,106,1,2,1,13,0
Dare Ogunbowale,19,HOU,1,5,0,0,0,0,0
Dameon Pierce,19,HOU,2,15,0,0,0,0,0
