name,week,team,targ,rec,recyd,rectd
Brock Bowers,1,LV,8,6,58,0
Michael Mayer,1,LV,3,2,3,0
Ja'Tavion Sanders,2,CAR,2,2,8,0
Tommy Tremble,2,CAR,4,3,23,0
Pat Freiermuth,3,PIT,5,4,33,0
Connor Heyward,3,PIT,1,1,2,0
Noah Gray,4,KC,4,4,40,0
Travis Kelce,4,KC,9,7,89,0
Nate Adkins,6,DEN,1,1,5,0
Lucas Krull,6,DEN,4,2,11,0
Elijah Higgins,7,ARI,1,1,1,0
Trey McBride,7,ARI,7,5,51,0
Tip Reiman,7,ARI,1,1,1,0
Taysom Hill,8,NO,4,2,21,0
Juwan Johnson,8,NO,4,3,48,0
Foster Moreau,8,NO,1,0,0,0
Jordan Akins,9,CLE,4,3,32,0
David Njoku,9,CLE,7,5,29,0
Chig Okonkwo,10,TEN,1,1,14,0
Josh Whyle,10,TEN,1,0,0,0
Mike Gesicki,11,CIN,2,0,0,0
Tanner Hudson,11,CIN,2,2,13,0
Drew Sample,11,CIN,2,1,9,0
Mark Andrews,12,BAL,5,5,44,1
Charlie Kolar,12,BAL,1,1,6,0
Kyle Pitts,13,ATL,2,0,0,0
Charlie Woerner,13,ATL,1,1,5,0
Baylor Cupp,14,KC,1,0,0,0
Noah Gray,14,KC,5,4,26,0
Travis Kelce,14,KC,6,5,45,0
Ryan Miller,15,TB,1,1,1,0
Cade Otton,15,TB,3,2,24,0
Nate Adkins,16,DEN,2,2,18,0
Lucas Krull,16,DEN,3,3,21,0
Adam Trautman,16,DEN,1,1,5,0
Hunter Henry,17,NE,2,0,0,0
Austin Hooper,17,NE,3,3,19,0
Brock Bowers,18,LV,9,4,50,1
Michael Mayer,18,LV,4,4,21,0
Dalton Schultz,19,HOU,4,2,23,0
Cade Stover,19,HOU,4,4,28,0
