name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Davante Adams,1,LV,0,0,0,6,5,59,0
Jakobi Meyers,1,LV,1,3,0,3,3,61,0
Tre Tucker,1,LV,0,0,0,3,2,22,0
DJ Turner,1,LV,0,0,0,1,1,9,0
Diontae Johnson,2,CAR,0,0,0,6,3,15,0
Jonathan Mingo,2,CAR,0,0,0,2,1,1,0
David Moore,2,CAR,0,0,0,1,0,0,0
Adam Thielen,2,CAR,0,0,0,3,2,20,0
Calvin Austin III,3,PIT,0,0,0,5,4,95,1
Scotty Miller,3,PIT,0,0,0,2,2,31,0
George Pickens,3,PIT,0,0,0,7,5,57,0
Skyy Moore,4,KC,0,0,0,2,0,0,0
Justin Watson,4,KC,0,0,0,3,2,27,0
Xavier Worthy,4,KC,0,0,0,4,3,73,1
Troy Franklin,6,DEN,1,5,0,3,2,31,1
Lil'Jordan Humphrey,6,DEN,0,0,0,1,1,8,0
Marvin Mims Jr.,6,DEN,0,0,0,3,0,0,0
Courtland Sutton,6,DEN,0,0,0,6,4,53,1
Devaughn Vele,6,DEN,0,0,0,6,4,78,0
Greg Dortch,7,ARI,0,0,0,2,1,5,1
Marvin Harrison Jr.,7,ARI,0,0,0,6,3,21,0
Zay Jones,7,ARI,0,0,0,1,0,0,0
Michael Wilson,7,ARI,0,0,0,3,1,15,0
Bub Means,8,NO,0,0,0,1,1,36,0
Chris Olave,8,NO,0,0,0,14,8,107,0
Mason Tipton,8,NO,0,0,0,2,2,14,0
Jerry Jeudy,9,CLE,0,0,0,11,7,73,0
Elijah Moore,9,CLE,0,0,0,9,3,28,0
Cedric Tillman,9,CLE,0,0,0,11,6,75,1
Bryce Oliver,10,TEN,0,0,0,2,2,23,0
Calvin Ridley,10,TEN,0,0,0,9,5,84,2
Nick Westbrook-Ikhine,10,TEN,0,0,0,3,3,31,0
Jermaine Burton,11,CIN,0,0,0,4,1,8,0
Ja'Marr Chase,11,CIN,0,0,0,13,7,75,2
Tee Higgins,11,CIN,0,0,0,13,9,148,1
Andrei Iosivas,11,CIN,0,0,0,3,3,46,0
Rashod Bateman,12,BAL,0,0,0,3,2,43,1
Zay Flowers,12,BAL,0,0,0,8,5,62,0
Diontae Johnson,12,BAL,0,0,0,1,0,0,0
Tylan Wallace,12,BAL,0,0,0,1,1,15,0
Drake London,13,ATL,1,-3,0,16,9,86,0
Ray-Ray McCloud III,13,ATL,1,-2,0,6,4,95,0
Darnell Mooney,13,ATL,0,0,0,6,3,20,0
DeAndre Hopkins,14,KC,0,0,0,9,4,32,1
JuJu Smith-Schuster,14,KC,0,0,0,2,2,31,0
Xavier Worthy,14,KC,1,5,0,6,5,41,0
Mike Evans,15,TB,0,0,0,11,9,159,2
Jalen McMillan,15,TB,0,0,0,6,5,75,1
Sterling Shepard,15,TB,0,0,0,1,1,16,0
Troy Franklin,16,DEN,0,0,0,3,2,25,0
Marvin Mims Jr.,16,DEN,1,3,0,5,3,62,0
Courtland Sutton,16,DEN,0,0,0,6,5,50,0
Devaughn Vele,16,DEN,0,0,0,3,2,21,1
Javon Baker,17,NE,0,0,0,1,0,0,0
Kendrick Bourne,17,NE,0,0,0,4,2,22,0
Kayshon Boutte,17,NE,0,0,0,5,4,28,0
DeMario Douglas,17,NE,0,0,0,5,4,46,1
Ja'Lynn Polk,17,NE,0,0,0,1,0,0,0
Jakobi Meyers,18,LV,0,0,0,10,9,123,1
Tre Tucker,18,LV,0,0,0,4,3,24,0
Nico Collins,19,HOU,0,0,0,8,7,122,1
Xavier Hutchinson,19,HOU,0,0,0,1,1,34,0
Diontae Johnson,19,HOU,0,0,0,1,1,12,0
John Metchie III,19,HOU,0,0,0,8,4,28,0
Robert Woods,19,HOU,0,0,0,4,2,22,0
