name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Jared Goff,1,DET,18,28,217,1,1,1,7,0
Kyler Murray,2,ARI,17,21,266,3,0,5,59,0
Clayton Tune,2,ARI,0,0,0,0,0,1,-6,0
Brock Purdy,3,SF,22,30,292,3,0,10,41,0
Caleb Williams,4,CHI,17,23,157,1,0,5,12,0
Jordan Love,5,GB,15,26,224,2,1,3,10,0
Gardner Minshew II,7,LV,15,34,154,0,3,1,2,0
Aidan O'Connell,7,LV,6,10,52,0,0,0,0,0
Sam Darnold,8,MIN,18,25,240,2,0,3,6,0
Geno Smith,9,SEA,21,34,363,3,3,6,16,0
Tua Tagovailoa,10,MIA,20,28,207,1,1,1,-1,0
Drake Maye,11,NE,30,40,282,2,1,3,27,0
Jalen Hurts,12,PHI,15,22,179,1,0,12,39,0
Kenny Pickett,12,PHI,0,0,0,0,0,2,-2,0
Derek Carr,13,NO,24,37,184,1,0,2,12,0
Josh Allen,14,BUF,22,37,342,3,0,10,82,3
Brock Purdy,15,SF,14,31,142,0,1,1,3,0
Aaron Rodgers,16,NYJ,28,42,256,1,0,1,6,0
Kyler Murray,17,ARI,33,48,321,1,2,4,32,0
Geno Smith,18,SEA,20,27,223,4,0,2,14,0
Sam Darnold,19,MIN,25,40,245,1,1,4,19,0
Jalen Hurts,20,PHI,15,20,128,0,0,7,70,1
