name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jahmyr Gibbs,1,DET,11,40,1,6,4,34,0
David Montgomery,1,DET,17,91,1,1,1,2,0
Trey Benson,2,ARI,11,10,0,1,1,7,0
James Conner,2,ARI,21,122,1,1,1,2,0
Emari Demercado,2,ARI,2,46,0,0,0,0,0
Isaac Guerendo,3,SF,5,19,0,0,0,0,0
Kyle Juszczyk,3,SF,0,0,0,1,1,6,0
Jordan Mason,3,SF,19,77,0,2,2,11,0
Roschon Johnson,4,CHI,7,26,1,0,0,0,0
D'Andre Swift,4,CHI,16,93,1,7,7,72,0
Josh Jacobs,5,GB,19,73,1,1,1,21,0
Emanuel Wilson,5,GB,6,24,0,1,1,-9,0
Alexander Mattison,7,LV,23,92,0,3,3,31,0
Zamir White,7,LV,3,13,0,1,1,14,0
Aaron Jones,8,MIN,19,58,0,2,2,37,0
Zach Charbonnet,9,SEA,2,8,0,3,2,25,0
Kenneth Walker III,9,SEA,25,83,0,3,3,24,0
De'Von Achane,10,MIA,12,37,0,5,5,15,0
Raheem Mostert,10,MIA,0,0,0,3,2,34,0
Jaylen Wright,10,MIA,5,3,0,0,0,0,0
Antonio Gibson,11,NE,4,18,0,1,1,2,0
JaMycal Hasty,11,NE,2,2,0,0,0,0,0
Rhamondre Stevenson,11,NE,20,73,0,4,4,16,0
Saquon Barkley,12,PHI,26,255,2,4,4,47,0
Kenneth Gainwell,12,PHI,5,22,1,0,0,0,0
Alvin Kamara,13,NO,23,112,0,6,4,7,0
Jamaal Williams,13,NO,0,0,0,1,1,7,0
James Cook,14,BUF,6,20,0,2,2,9,0
Ty Johnson,14,BUF,0,0,0,3,2,55,1
Isaac Guerendo,15,SF,16,57,0,4,4,18,0
Braelon Allen,16,NYJ,2,5,0,1,1,5,0
Isaiah Davis,16,NYJ,3,12,0,0,0,0,0
Breece Hall,16,NYJ,14,52,0,6,5,38,0
Michael Carter,17,ARI,13,70,0,2,2,11,0
James Conner,17,ARI,4,4,0,3,2,4,0
DeeJay Dallas,17,ARI,0,0,0,1,1,5,0
Zach Charbonnet,18,SEA,14,59,0,0,0,32,0
Kenny McIntosh,18,SEA,7,49,0,1,0,0,0
Cam Akers,19,MIN,5,39,0,0,0,0,0
C.J. Ham,19,MIN,0,0,0,1,1,8,0
Aaron Jones,19,MIN,13,48,0,6,3,12,0
Saquon Barkley,20,PHI,26,205,2,4,4,27,0
Kenneth Gainwell,20,PHI,1,10,0,1,1,10,0
