name,week,team,targ,rec,recyd,rectd
Sam LaPorta,1,DET,5,4,45,0
Brock Wright,1,DET,1,1,2,0
Elijah Higgins,2,ARI,1,1,18,1
Trey McBride,2,ARI,6,6,67,0
Eric Saubert,3,SF,2,2,41,0
Cole Kmet,4,CHI,3,3,34,0
Tucker Kraft,5,GB,5,4,88,2
Brock Bowers,7,LV,14,10,93,0
Harrison Bryant,7,LV,2,2,19,0
Johnny Mundt,8,MIN,2,1,10,0
Josh Oliver,8,MIN,2,2,30,1
AJ Barner,9,SEA,7,4,27,0
Julian Hill,10,MIA,1,0,0,0
Jonnu Smith,10,MIA,4,3,45,0
Durham Smythe,10,MIA,1,1,6,0
Jaheim Bell,11,NE,1,0,0,0
Hunter Henry,11,NE,9,6,63,0
Austin Hooper,11,NE,4,4,35,0
Grant Calcaterra,12,PHI,1,0,0,0
Dallas Goedert,12,PHI,5,4,19,0
Taysom Hill,13,NO,7,5,37,0
Juwan Johnson,13,NO,7,5,36,0
Foster Moreau,13,NO,4,2,6,0
Dawson Knox,14,BUF,1,1,5,0
George Kittle,15,SF,7,4,61,0
Tyler Conklin,16,NYJ,7,5,59,0
Jeremy Ruckert,16,NYJ,2,2,12,0
Kenny Yeboah,16,NYJ,1,0,0,0
Elijah Higgins,17,ARI,3,2,23,0
Trey McBride,17,ARI,16,12,123,1
AJ Barner,18,SEA,5,5,34,1
Noah Fant,18,SEA,6,5,63,1
T.J. Hockenson,19,MIN,5,5,64,1
Johnny Mundt,19,MIN,3,2,28,0
Josh Oliver,19,MIN,1,1,5,0
Dallas Goedert,20,PHI,4,4,56,0
