name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Kalif Raymond,1,DET,1,12,0,0,0,0,0
Amon-Ra St. Brown,1,DET,0,0,0,6,3,13,0
Jameson Williams,1,DET,1,13,0,9,5,121,1
Greg Dortch,2,ARI,0,0,0,2,2,11,0
Marvin Harrison Jr.,2,ARI,0,0,0,8,4,130,2
Michael Wilson,2,ARI,0,0,0,2,2,31,0
Brandon Aiyuk,3,SF,0,0,0,10,5,48,0
Ronnie Bell,3,SF,0,0,0,3,1,12,0
Jauan Jennings,3,SF,0,0,0,12,11,175,3
Keenan Allen,4,CHI,0,0,0,3,3,19,0
DJ Moore,4,CHI,0,0,0,6,3,22,1
Rome Odunze,4,CHI,0,0,0,3,1,10,0
Malik Heath,5,GB,0,0,0,3,2,14,0
Bo Melton,5,GB,0,0,0,2,1,12,0
Jayden Reed,5,GB,2,19,0,6,4,78,0
Dontayvion Wicks,5,GB,0,0,0,7,2,20,0
Tre Tucker,7,LV,1,11,0,8,3,36,0
DJ Turner,7,LV,1,4,0,7,2,13,0
Jordan Addison,8,MIN,0,0,0,3,2,22,0
Justin Jefferson,8,MIN,0,0,0,9,8,115,0
Jalen Nailor,8,MIN,0,0,0,4,2,16,0
Trent Sherfield Sr.,8,MIN,0,0,0,1,1,10,1
Jake Bobo,9,SEA,0,0,0,1,0,0,0
Tyler Lockett,9,SEA,0,0,0,4,3,63,1
Jaxon Smith-Njigba,9,SEA,0,0,0,13,7,180,2
Cody White,9,SEA,0,0,0,3,2,44,0
Odell Beckham Jr.,10,MIA,0,0,0,2,2,17,0
Tyreek Hill,10,MIA,2,11,0,4,3,16,1
Jaylen Waddle,10,MIA,1,-1,0,6,3,57,0
Malik Washington,10,MIA,1,18,1,2,1,17,0
Kendrick Bourne,11,NE,0,0,0,5,5,70,1
Kayshon Boutte,11,NE,0,0,0,6,4,33,0
DeMario Douglas,11,NE,0,0,0,7,5,59,0
A.J. Brown,12,PHI,0,0,0,7,6,109,1
Jahan Dotson,12,PHI,0,0,0,1,1,4,0
Johnny Wilson,12,PHI,0,0,0,1,0,0,0
Kevin Austin Jr.,13,NO,1,9,0,3,3,31,0
Dante Pettis,13,NO,0,0,0,2,1,5,0
Marquez Valdes-Scantling,13,NO,0,0,0,3,2,36,1
Cedrick Wilson Jr.,13,NO,0,0,0,1,1,19,0
Amari Cooper,14,BUF,0,0,0,14,6,95,0
Mack Hollins,14,BUF,0,0,0,6,4,57,1
Curtis Samuel,14,BUF,1,1,0,3,2,15,0
Khalil Shakir,14,BUF,0,0,0,8,5,106,1
Jauan Jennings,15,SF,0,0,0,9,2,31,0
Ricky Pearsall,15,SF,0,0,0,4,1,16,0
Deebo Samuel Sr.,15,SF,2,3,0,7,3,16,0
Davante Adams,16,NYJ,0,0,0,13,7,68,1
Allen Lazard,16,NYJ,0,0,0,5,2,20,0
Garrett Wilson,16,NYJ,0,0,0,7,6,54,0
Greg Dortch,17,ARI,0,0,0,3,3,18,0
Marvin Harrison Jr.,17,ARI,0,0,0,10,6,96,0
Zay Jones,17,ARI,0,0,0,1,1,19,0
Michael Wilson,17,ARI,1,7,0,6,4,22,0
Jake Bobo,18,SEA,0,0,0,1,1,4,1
Tyler Lockett,18,SEA,0,0,0,4,2,28,0
DK Metcalf,18,SEA,0,0,0,5,3,53,1
Jaxon Smith-Njigba,18,SEA,1,4,0,5,4,9,0
Jordan Addison,19,MIN,0,0,0,8,3,29,0
Justin Jefferson,19,MIN,0,0,0,8,5,58,0
Jalen Nailor,19,MIN,0,0,0,5,3,33,0
Trent Sherfield Sr.,19,MIN,0,0,0,3,2,8,0
A.J. Brown,20,PHI,0,0,0,7,2,14,0
DeVonta Smith,20,PHI,0,0,0,4,4,21,0
