name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Justin Herbert,1,LAC,17,26,144,1,0,4,6,0
Lamar Jackson,2,BAL,21,34,247,1,1,5,45,0
Andy Dalton,3,CAR,26,37,319,3,0,2,-2,0
Deshaun Watson,4,CLE,24,32,176,1,1,8,32,0
Bo Nix,5,DEN,19,27,206,2,0,8,9,1
Justin Fields,6,PIT,14,24,145,0,0,11,59,2
Matthew Stafford,7,LAR,14,23,154,0,1,2,-2,0
Patrick Mahomes,8,KC,27,38,262,2,1,6,17,0
Jake Browning,9,CIN,0,0,0,0,0,1,-1,0
Joe Burrow,9,CIN,27,39,251,5,1,3,11,0
Tua Tagovailoa,11,MIA,28,36,288,3,0,0,0,0
Bo Nix,12,DEN,25,42,273,2,0,1,5,0
Patrick Mahomes,13,KC,26,46,306,1,0,2,4,0
Baker Mayfield,14,TB,18,29,295,3,2,2,12,0
Kirk Cousins,15,ATL,11,17,112,1,1,3,0,0
Mac Jones,16,JAX,25,39,247,1,0,0,0,0
Spencer Rattler,17,NO,20,36,218,1,2,3,46,0
Justin Herbert,18,LAC,28,36,346,2,0,4,42,0
