name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
J.K. Dobbins,1,LAC,10,135,1,3,3,4,0
Gus Edwards,1,LAC,11,26,0,1,1,2,0
Derrick Henry,2,BAL,18,84,1,1,1,12,0
Justice Hill,2,BAL,4,22,0,2,2,10,0
Patrick Ricard,2,BAL,0,0,0,1,0,0,0
Chuba Hubbard,3,CAR,21,114,0,5,5,55,1
Miles Sanders,3,CAR,7,17,1,2,2,13,0
Jerome Ford,4,CLE,10,58,0,7,7,27,0
D'Onta Foreman,4,CLE,4,2,0,1,1,5,0
Michael Burton,5,DEN,0,0,0,1,1,5,0
Jaleel McLaughlin,5,DEN,6,22,0,4,3,3,1
Javonte Williams,5,DEN,13,61,0,6,5,50,0
Najee Harris,6,PIT,14,106,1,2,2,16,0
Aaron Shampklin,6,PIT,1,-2,0,0,0,0,0
Jonathan Ward,6,PIT,3,13,0,0,0,0,0
Jaylen Warren,6,PIT,6,7,0,3,3,11,0
Blake Corum,7,LAR,3,11,0,0,0,0,0
Kyren Williams,7,LAR,21,76,2,0,0,0,0
Kareem Hunt,8,KC,21,59,1,1,1,4,0
Samaje Perine,8,KC,0,0,0,2,2,30,0
Carson Steele,8,KC,2,6,0,1,1,8,0
Chase Brown,9,CIN,27,120,0,5,5,37,1
De'Von Achane,11,MIA,17,73,1,4,4,32,0
Raheem Mostert,11,MIA,3,-2,0,0,0,0,0
Jaylen Wright,11,MIA,5,4,0,1,1,2,0
Michael Burton,12,DEN,1,3,0,1,1,8,0
Audric Estime,12,DEN,3,15,0,0,0,0,0
Jaleel McLaughlin,12,DEN,7,44,0,1,0,0,0
Javonte Williams,12,DEN,8,-2,0,4,2,6,0
Kareem Hunt,13,KC,7,15,0,4,2,0,0
Isiah Pacheco,13,KC,7,44,0,1,1,5,0
Samaje Perine,13,KC,0,0,0,1,1,15,0
Bucky Irving,14,TB,4,3,0,1,1,15,0
Sean Tucker,14,TB,3,47,0,2,0,0,0
Rachaad White,14,TB,17,90,1,3,2,19,1
Tyler Allgeier,15,ATL,12,43,0,0,0,0,0
Bijan Robinson,15,ATL,22,125,0,2,1,10,0
Tank Bigsby,16,JAX,12,50,1,1,1,1,0
Travis Etienne Jr.,16,JAX,9,22,0,3,2,15,0
D'Ernest Johnson,16,JAX,0,0,0,2,1,8,0
Clyde Edwards-Helaire,17,NO,5,20,0,4,2,10,0
Kendre Miller,17,NO,3,3,0,1,1,16,0
Adam Prentice,17,NO,0,0,0,1,0,0,0
Jamaal Williams,17,NO,2,12,0,1,1,12,0
J.K. Dobbins,18,LAC,18,63,0,3,3,12,0
Hassan Haskins,18,LAC,12,33,1,0,0,0,0
