name,week,team,targ,rec,recyd,rectd
Will Dissly,1,LAC,1,1,13,0
Hayden Hurst,1,LAC,3,2,33,0
Mark Andrews,2,BAL,5,4,51,0
Charlie Kolar,2,BAL,1,1,4,0
Isaiah Likely,2,BAL,3,2,26,0
Ja'Tavion Sanders,3,CAR,1,0,0,0
Tommy Tremble,3,CAR,3,3,29,0
Jordan Akins,4,CLE,2,1,10,0
Blake Whiteheart,4,CLE,3,3,13,1
Nate Adkins,5,DEN,1,1,8,0
Lucas Krull,5,DEN,1,1,5,0
Adam Trautman,5,DEN,1,1,19,0
Pat Freiermuth,6,PIT,3,2,16,0
Connor Heyward,6,PIT,1,1,4,0
Darnell Washington,6,PIT,1,1,9,0
Hunter Long,7,LAR,1,1,5,0
Colby Parkinson,7,LAR,2,2,32,0
Jody Fortson,8,KC,1,0,0,0
Noah Gray,8,KC,3,3,23,0
Travis Kelce,8,KC,12,10,90,1
Erick All Jr.,9,CIN,2,2,24,0
Mike Gesicki,9,CIN,6,5,100,2
Tanner Hudson,9,CIN,3,2,14,0
Drew Sample,9,CIN,4,4,14,1
Julian Hill,11,MIA,3,2,28,0
Jonnu Smith,11,MIA,8,6,101,2
Durham Smythe,11,MIA,1,1,3,0
Adam Trautman,12,DEN,2,1,3,0
Noah Gray,13,KC,6,4,58,0
Travis Kelce,13,KC,13,7,68,0
Cade Otton,14,TB,4,3,70,0
Kyle Pitts,15,ATL,4,4,28,0
Charlie Woerner,15,ATL,3,2,7,0
Josiah Deguara,16,JAX,1,1,4,0
Luke Farrell,16,JAX,3,2,8,0
Brenton Strange,16,JAX,4,2,22,0
Juwan Johnson,17,NO,10,6,66,0
Foster Moreau,17,NO,5,3,47,1
Will Dissly,18,LAC,6,5,42,1
