name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Derius Davis,1,LAC,2,9,0,0,0,0,0
Quentin Johnston,1,LAC,0,0,0,5,3,38,0
Ladd McConkey,1,LAC,0,0,0,7,5,39,1
Joshua Palmer,1,LAC,0,0,0,4,2,15,0
Nelson Agholor,2,BAL,0,0,0,3,1,13,0
Rashod Bateman,2,BAL,0,0,0,4,3,40,0
Zay Flowers,2,BAL,0,0,0,11,7,91,1
Diontae Johnson,3,CAR,0,0,0,14,8,122,1
Xavier Legette,3,CAR,0,0,0,3,2,42,0
Jonathan Mingo,3,CAR,1,2,0,4,3,18,0
Adam Thielen,3,CAR,0,0,0,5,3,40,1
Amari Cooper,4,CLE,0,0,0,8,4,35,0
Jerry Jeudy,4,CLE,0,0,0,9,6,72,0
Elijah Moore,4,CLE,0,0,0,1,1,11,0
James Proche II,4,CLE,0,0,0,1,1,3,0
Troy Franklin,5,DEN,0,0,0,2,1,20,0
Lil'Jordan Humphrey,5,DEN,0,0,0,2,2,48,0
Marvin Mims Jr.,5,DEN,1,17,0,1,1,7,0
Josh Reynolds,5,DEN,0,0,0,2,1,9,1
Courtland Sutton,5,DEN,0,0,0,5,2,32,0
Calvin Austin III,6,PIT,0,0,0,5,2,36,0
George Pickens,6,PIT,0,0,0,8,3,53,0
Tutu Atwell,7,LAR,0,0,0,9,6,51,0
Tyler Johnson,7,LAR,0,0,0,7,4,57,0
Demarcus Robinson,7,LAR,0,0,0,3,1,9,0
Xavier Smith,7,LAR,2,30,0,0,0,0,0
Mecole Hardman,8,KC,0,0,0,1,1,8,0
DeAndre Hopkins,8,KC,0,0,0,3,2,29,0
Justin Watson,8,KC,0,0,0,3,3,33,0
Xavier Worthy,8,KC,0,0,0,8,4,37,1
Ja'Marr Chase,9,CIN,0,0,0,11,7,43,0
Andrei Iosivas,9,CIN,0,0,0,4,1,10,1
Trenton Irwin,9,CIN,0,0,0,1,0,0,0
Kendric Pryor,9,CIN,0,0,0,1,1,9,0
Odell Beckham Jr.,11,MIA,0,0,0,4,2,13,0
Tyreek Hill,11,MIA,0,0,0,8,7,61,1
Jaylen Waddle,11,MIA,0,0,0,3,2,37,0
Malik Washington,11,MIA,1,7,0,3,3,11,0
Troy Franklin,12,DEN,0,0,0,4,2,31,0
Lil'Jordan Humphrey,12,DEN,0,0,0,3,2,4,0
Marvin Mims Jr.,12,DEN,2,-2,0,5,3,44,0
Courtland Sutton,12,DEN,0,0,0,10,8,97,2
Devaughn Vele,12,DEN,0,0,0,9,6,80,0
DeAndre Hopkins,13,KC,0,0,0,9,4,90,0
JuJu Smith-Schuster,13,KC,0,0,0,1,1,10,0
Justin Watson,13,KC,0,0,0,3,1,6,1
Xavier Worthy,13,KC,0,0,0,7,5,54,0
Mike Evans,14,TB,0,0,0,5,4,69,0
Jalen McMillan,14,TB,0,0,0,7,4,59,2
Sterling Shepard,14,TB,0,0,0,6,4,63,0
Drake London,15,ATL,0,0,0,3,3,53,1
Ray-Ray McCloud III,15,ATL,0,0,0,3,1,14,0
Darnell Mooney,15,ATL,0,0,0,1,0,0,0
Devin Duvernay,16,JAX,0,0,0,1,1,3,0
Josh Reynolds,16,JAX,0,0,0,1,0,0,0
Brian Thomas Jr.,16,JAX,0,0,0,13,9,132,1
Parker Washington,16,JAX,0,0,0,6,6,54,0
Kevin Austin Jr.,17,NO,0,0,0,2,1,23,0
Dante Pettis,17,NO,0,0,0,4,3,27,0
Marquez Valdes-Scantling,17,NO,0,0,0,2,0,0,0
Cedrick Wilson Jr.,17,NO,0,0,0,4,3,17,0
DJ Chark,18,LAC,0,0,0,3,1,6,1
Derius Davis,18,LAC,1,-1,0,1,1,5,0
Quentin Johnston,18,LAC,0,0,0,14,13,186,0
Ladd McConkey,18,LAC,0,0,0,8,5,95,0
