name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Trevor Lawrence,1,JAX,12,21,162,1,0,1,8,0
Josh Allen,2,BUF,13,19,139,1,0,2,2,0
Mitchell Trubisky,2,BUF,0,0,0,0,0,2,-2,0
Geno Smith,3,SEA,26,34,289,1,2,2,-2,0
Will Levis,4,TEN,3,4,25,0,1,2,5,0
Mason Rudolph,4,TEN,9,17,85,0,0,0,0,0
Jacoby Brissett,5,NE,18,34,160,0,0,1,10,0
Anthony Richardson,7,IND,10,24,129,0,0,14,56,0
Kyler Murray,8,ARI,26,36,307,2,0,5,19,0
Josh Allen,9,BUF,25,39,235,3,1,2,7,0
Matthew Stafford,10,LAR,32,46,293,0,1,1,0,0
Gardner Minshew II,11,LV,30,43,282,2,1,2,7,0
Drake Maye,12,NE,22,37,222,1,1,5,26,0
Jordan Love,13,GB,21,28,274,2,0,0,0,0
Aaron Rodgers,14,NYJ,27,39,339,1,0,0,0,0
C.J. Stroud,15,HOU,18,26,131,2,0,6,4,0
Brock Purdy,16,SF,26,40,313,2,1,4,26,0
Dorian Thompson-Robinson,17,CLE,24,47,170,0,1,4,10,0
Aaron Rodgers,18,NYJ,23,36,274,4,1,0,0,0
