name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Tank Bigsby,1,JAX,12,73,0,0,0,0,0
Travis Etienne Jr.,1,JAX,12,44,1,3,2,15,0
James Cook,2,BUF,11,78,2,1,1,17,1
Ray Davis,2,BUF,9,29,0,1,1,-1,0
Ty Johnson,2,BUF,1,-1,0,2,1,33,0
Zach Charbonnet,3,SEA,18,91,2,4,3,16,0
Kenny McIntosh,3,SEA,3,11,0,0,0,0,0
Tony Pollard,4,TEN,22,88,1,2,2,20,0
Tyjae Spears,4,TEN,15,39,1,2,2,0,0
Antonio Gibson,5,NE,6,52,0,1,1,4,0
Rhamondre Stevenson,5,NE,12,89,1,4,4,3,0
Tyler Goodson,7,IND,14,51,1,0,0,0,0
Trey Sermon,7,IND,8,36,0,1,1,13,0
Trey Benson,8,ARI,1,10,0,0,0,0,0
James Conner,8,ARI,20,53,1,3,2,16,0
Emari Demercado,8,ARI,0,0,0,1,0,0,0
James Cook,9,BUF,10,44,0,6,5,25,0
Ray Davis,9,BUF,4,20,0,2,2,70,1
Ty Johnson,9,BUF,3,23,0,0,0,0,0
Blake Corum,10,LAR,2,8,0,1,1,7,0
Kyren Williams,10,LAR,15,62,0,6,5,20,0
Ameer Abdullah,11,LV,1,1,0,3,3,16,1
Alexander Mattison,11,LV,5,19,0,3,3,50,0
Zamir White,11,LV,5,9,0,0,0,0,0
Antonio Gibson,12,NE,6,31,0,2,1,14,0
JaMycal Hasty,12,NE,1,15,0,2,2,0,0
Rhamondre Stevenson,12,NE,8,13,0,2,0,0,0
Chris Brooks,13,GB,3,28,0,2,2,1,0
Josh Jacobs,13,GB,19,43,1,4,4,74,0
Emanuel Wilson,13,GB,2,20,0,0,0,0,0
Braelon Allen,14,NYJ,11,43,0,5,4,38,0
Isaiah Davis,14,NYJ,10,40,1,6,3,27,0
Joe Mixon,15,HOU,12,23,0,6,5,33,0
Dare Ogunbowale,15,HOU,1,35,0,0,0,0,0
Kyle Juszczyk,16,SF,1,6,0,3,1,20,0
Patrick Taylor Jr.,16,SF,8,24,0,5,1,1,0
Jerome Ford,17,CLE,6,22,0,0,0,0,0
D'Onta Foreman,17,CLE,13,49,0,2,0,0,0
Pierre Strong Jr.,17,CLE,5,33,0,5,3,15,0
Braelon Allen,18,NYJ,4,15,0,3,2,8,0
Isaiah Davis,18,NYJ,4,41,0,0,0,0,0
Breece Hall,18,NYJ,12,57,0,5,3,15,1
