name,week,team,targ,rec,recyd,rectd
Evan Engram,1,JAX,4,1,5,0
Dalton Kincaid,2,BUF,4,4,33,0
AJ Barner,3,SEA,3,3,13,0
Pharaoh Brown,3,SEA,2,1,9,0
Noah Fant,3,SEA,6,6,60,0
Chig Okonkwo,4,TEN,3,1,5,0
Josh Whyle,4,TEN,1,1,5,0
Hunter Henry,5,NE,4,2,32,0
Austin Hooper,5,NE,3,1,9,0
Mo Alie-Cox,7,IND,1,0,0,0
Kylen Granson,7,IND,2,0,0,0
Will Mallory,7,IND,1,1,5,0
Drew Ogletree,7,IND,1,0,0,0
Elijah Higgins,8,ARI,2,2,13,0
Trey McBride,8,ARI,11,9,124,0
Dalton Kincaid,9,BUF,10,4,32,0
Dawson Knox,9,BUF,2,1,5,0
Quintin Morris,9,BUF,1,1,2,1
Davis Allen,10,LAR,6,5,34,0
Brock Bowers,11,LV,16,13,126,1
Michael Mayer,11,LV,3,1,5,0
Hunter Henry,12,NE,8,5,44,0
Austin Hooper,12,NE,4,4,59,1
Tucker Kraft,13,GB,7,6,78,0
Tyler Conklin,14,NYJ,5,3,33,0
Jeremy Ruckert,14,NYJ,1,0,0,0
Dalton Schultz,15,HOU,4,2,13,0
George Kittle,16,SF,9,8,106,0
Eric Saubert,16,SF,1,1,2,1
Jordan Akins,17,CLE,8,6,49,0
Blake Whiteheart,17,CLE,1,1,8,0
Tyler Conklin,18,NYJ,3,2,16,1
Jeremy Ruckert,18,NYJ,2,1,5,0
Kenny Yeboah,18,NYJ,2,2,20,0
