name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Gabe Davis,1,JAX,0,0,0,3,3,62,0
Devin Duvernay,1,JAX,1,3,0,0,0,0,0
Christian Kirk,1,JAX,0,0,0,4,1,30,0
Brian Thomas Jr.,1,JAX,0,0,0,4,4,47,1
Parker Washington,1,JAX,0,0,0,1,1,3,0
Keon Coleman,2,BUF,0,0,0,1,0,0,0
Mack Hollins,2,BUF,0,0,0,1,0,0,0
Curtis Samuel,2,BUF,0,0,0,2,1,3,0
Khalil Shakir,2,BUF,1,2,0,5,5,54,0
Marquez Valdes-Scantling,2,BUF,0,0,0,1,0,0,0
Tyler Lockett,3,SEA,0,0,0,8,5,46,0
DK Metcalf,3,SEA,0,0,0,6,4,104,1
Laviska Shenault Jr.,3,SEA,0,0,0,1,1,2,0
Jaxon Smith-Njigba,3,SEA,0,0,0,3,3,39,0
Tyler Boyd,4,TEN,0,0,0,2,2,31,0
Treylon Burks,4,TEN,0,0,0,1,1,13,0
DeAndre Hopkins,4,TEN,0,0,0,4,2,31,0
Calvin Ridley,4,TEN,1,10,0,3,1,5,0
Kendrick Bourne,5,NE,0,0,0,1,1,6,0
Kayshon Boutte,5,NE,0,0,0,2,2,34,0
DeMario Douglas,5,NE,0,0,0,9,6,59,0
Ja'Lynn Polk,5,NE,0,0,0,6,1,13,0
Josh Downs,7,IND,0,0,0,3,1,3,0
Ashton Dulin,7,IND,1,12,0,0,0,0,0
Adonai Mitchell,7,IND,0,0,0,3,2,30,0
Alec Pierce,7,IND,0,0,0,5,2,15,0
Michael Pittman Jr.,7,IND,0,0,0,5,3,63,0
Greg Dortch,8,ARI,0,0,0,2,1,9,0
Marvin Harrison Jr.,8,ARI,0,0,0,7,6,111,1
Zay Jones,8,ARI,0,0,0,1,1,3,0
Michael Wilson,8,ARI,0,0,0,6,5,31,1
Keon Coleman,9,BUF,0,0,0,2,1,21,0
Mack Hollins,9,BUF,0,0,0,5,5,30,1
Curtis Samuel,9,BUF,0,0,0,1,0,0,0
Khalil Shakir,9,BUF,0,0,0,7,6,50,0
Tutu Atwell,10,LAR,0,0,0,1,1,6,0
Tyler Johnson,10,LAR,0,0,0,4,3,25,0
Cooper Kupp,10,LAR,0,0,0,7,7,80,0
Puka Nacua,10,LAR,0,0,0,14,9,98,0
Demarcus Robinson,10,LAR,0,0,0,5,1,23,0
Ramel Keyton,11,LV,0,0,0,1,0,0,0
Jakobi Meyers,11,LV,1,20,0,6,4,28,0
Tre Tucker,11,LV,1,7,0,4,3,28,0
DJ Turner,11,LV,0,0,0,3,3,29,0
Javon Baker,12,NE,0,0,0,1,0,0,0
Kendrick Bourne,12,NE,0,0,0,5,3,30,0
Kayshon Boutte,12,NE,0,0,0,4,1,6,0
DeMario Douglas,12,NE,1,1,0,7,5,62,0
Ja'Lynn Polk,12,NE,0,0,0,2,1,7,0
Jayden Reed,13,GB,1,23,0,6,3,24,2
Christian Watson,13,GB,0,0,0,4,2,67,0
Dontayvion Wicks,13,GB,0,0,0,5,4,30,0
Davante Adams,14,NYJ,0,0,0,11,9,109,1
Allen Lazard,14,NYJ,0,0,0,1,1,18,0
Garrett Wilson,14,NYJ,0,0,0,10,7,114,0
Nico Collins,15,HOU,0,0,0,6,4,17,2
Tank Dell,15,HOU,1,15,0,2,2,26,0
Xavier Hutchinson,15,HOU,0,0,0,1,1,13,0
John Metchie III,15,HOU,0,0,0,4,2,17,0
Robert Woods,15,HOU,0,0,0,2,2,12,0
Jauan Jennings,16,SF,0,0,0,6,4,51,0
Ricky Pearsall,16,SF,0,0,0,4,4,37,0
Deebo Samuel Sr.,16,SF,5,25,0,9,7,96,1
Jerry Jeudy,17,CLE,0,0,0,18,12,94,0
Elijah Moore,17,CLE,0,0,0,5,1,1,0
Jamari Thrash,17,CLE,0,0,0,1,0,0,0
Michael Woods II,17,CLE,0,0,0,3,1,3,0
Davante Adams,18,NYJ,0,0,0,12,6,88,1
Xavier Gipson,18,NYJ,1,5,0,0,0,0,0
Allen Lazard,18,NYJ,0,0,0,3,3,71,1
Garrett Wilson,18,NYJ,1,0,0,5,4,51,0
