name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Daniel Jones,1,NYG,22,42,186,0,2,6,15,0
Brock Purdy,2,SF,28,36,319,1,1,2,12,0
Davis Mills,3,HOU,7,12,79,0,0,0,0,0
C.J. Stroud,3,HOU,20,31,215,1,2,3,12,0
Jordan Love,4,GB,32,54,389,4,3,1,6,0
Aaron Rodgers,5,NYJ,29,54,244,2,3,0,0,0
Jared Goff,7,DET,22,25,280,2,0,2,-4,0
Matthew Stafford,8,LAR,25,34,279,4,1,3,-4,0
Joe Flacco,9,IND,16,27,179,0,1,2,-1,0
Mac Jones,10,JAX,14,22,111,0,2,5,8,1
Will Levis,11,TEN,17,31,295,1,1,7,18,0
Caleb Williams,12,CHI,32,47,340,2,0,6,33,0
Kyler Murray,13,ARI,31,45,260,1,2,7,48,0
Kirk Cousins,14,ATL,23,37,344,0,2,0,0,0
Tyson Bagent,15,CHI,1,1,5,0,0,0,0,0
Caleb Williams,15,CHI,18,31,191,1,0,4,3,0
Geno Smith,16,SEA,31,43,314,3,2,1,8,0
Jordan Love,17,GB,19,30,185,1,0,1,6,0
Jared Goff,18,DET,27,33,231,1,2,0,0,0
Matthew Stafford,19,LAR,19,27,209,2,0,2,-1,0
