name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Eric Gray,1,NYG,2,6,0,1,1,9,0
Devin Singletary,1,NYG,10,37,0,5,4,15,0
Tyrone Tracy Jr.,1,NYG,2,2,0,3,1,5,0
Isaac Guerendo,2,SF,1,0,0,0,0,0,0
Kyle Juszczyk,2,SF,0,0,0,5,3,19,0
Jordan Mason,2,SF,20,100,1,1,1,4,0
Cam Akers,3,HOU,9,21,0,3,1,8,1
British Brooks,3,HOU,1,2,0,0,0,0,0
Dare Ogunbowale,3,HOU,0,0,0,2,2,28,0
J.J. Taylor,3,HOU,1,3,0,2,2,0,0
Josh Jacobs,4,GB,9,51,0,6,4,27,0
Emanuel Wilson,4,GB,8,27,0,1,0,0,0
Braelon Allen,5,NYJ,5,13,0,2,1,15,0
Breece Hall,5,NYJ,9,23,0,4,3,14,0
Jahmyr Gibbs,7,DET,15,116,2,4,4,44,0
David Montgomery,7,DET,9,31,0,4,3,39,0
Blake Corum,8,LAR,4,9,0,1,1,9,0
Kyren Williams,8,LAR,23,97,0,7,5,19,1
Trey Sermon,9,IND,2,4,0,2,1,9,0
Jonathan Taylor,9,IND,13,48,0,5,3,11,0
Tank Bigsby,10,JAX,2,4,0,0,0,0,0
Travis Etienne Jr.,10,JAX,11,44,0,1,1,-1,0
Tony Pollard,11,TEN,9,15,0,4,2,14,0
Tyjae Spears,11,TEN,3,0,0,3,2,8,0
Roschon Johnson,12,CHI,2,2,1,1,1,10,0
D'Andre Swift,12,CHI,13,30,0,4,3,35,0
Trey Benson,13,ARI,3,20,0,0,0,0,0
James Conner,13,ARI,17,68,0,4,3,13,0
Emari Demercado,13,ARI,3,12,0,2,1,3,0
Tyler Allgeier,14,ATL,9,63,1,0,0,0,0
Bijan Robinson,14,ATL,22,92,1,2,2,9,0
Travis Homer,15,CHI,3,7,0,0,0,0,0
D'Andre Swift,15,CHI,19,79,0,1,1,10,0
Zach Charbonnet,16,SEA,1,-1,0,2,2,14,0
Kenny McIntosh,16,SEA,3,14,0,1,1,15,0
Kenneth Walker III,16,SEA,8,31,0,8,8,28,0
Josh Jacobs,17,GB,17,69,1,0,0,0,0
Emanuel Wilson,17,GB,6,29,1,0,0,0,0
Jahmyr Gibbs,18,DET,23,139,3,5,5,31,1
Craig Reynolds,18,DET,8,39,0,2,0,0,0
Ronnie Rivers,19,LAR,3,8,0,0,0,0,0
Kyren Williams,19,LAR,16,76,0,3,3,16,1
