name,week,team,targ,rec,recyd,rectd
Daniel Bellinger,1,NYG,1,1,3,0
Theo Johnson,1,NYG,4,1,18,0
George Kittle,2,SF,8,7,76,1
Eric Saubert,2,SF,2,2,26,0
Dalton Schultz,3,HOU,5,2,11,0
Tucker Kraft,4,GB,9,6,53,1
Luke Musgrave,4,GB,3,3,13,0
Tyler Conklin,5,NYJ,9,6,55,0
Sam LaPorta,7,DET,2,1,25,0
Hunter Long,8,LAR,1,1,18,0
Colby Parkinson,8,LAR,2,2,17,0
Kylen Granson,9,IND,1,1,22,0
Evan Engram,10,JAX,8,6,40,0
Luke Farrell,10,JAX,2,2,16,0
Brenton Strange,10,JAX,3,2,25,0
Chig Okonkwo,11,TEN,4,2,19,0
Nick Vannett,11,TEN,1,1,6,0
Josh Whyle,11,TEN,1,1,6,0
Cole Kmet,12,CHI,10,7,64,0
Elijah Higgins,13,ARI,2,2,23,0
Trey McBride,13,ARI,12,12,96,0
Tip Reiman,13,ARI,1,1,9,0
Kyle Pitts,14,ATL,6,1,14,0
Charlie Woerner,14,ATL,1,1,11,0
Cole Kmet,15,CHI,1,1,14,0
AJ Barner,16,SEA,2,2,13,1
Pharaoh Brown,16,SEA,1,1,17,0
Noah Fant,16,SEA,6,3,50,0
Tucker Kraft,17,GB,3,2,53,0
Luke Musgrave,17,GB,1,1,4,0
Sam LaPorta,18,DET,7,7,63,0
Davis Allen,19,LAR,2,1,13,1
Tyler Higbee,19,LAR,5,5,58,0
Hunter Long,19,LAR,2,1,13,0
Colby Parkinson,19,LAR,2,2,13,0
