name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jalin Hyatt,1,NYG,0,0,0,1,0,0,0
Malik Nabers,1,NYG,0,0,0,7,5,66,0
Wan'Dale Robinson,1,NYG,1,14,0,12,6,44,0
Darius Slayton,1,NYG,0,0,0,4,3,26,0
Brandon Aiyuk,2,SF,0,0,0,5,4,43,0
Chris Conley,2,SF,0,0,0,1,1,4,0
Jauan Jennings,2,SF,0,0,0,4,2,37,0
Deebo Samuel Sr.,2,SF,2,-10,0,10,8,110,0
Nico Collins,3,HOU,0,0,0,10,4,86,0
Tank Dell,3,HOU,0,0,0,6,5,62,0
Stefon Diggs,3,HOU,0,0,0,12,10,94,0
Xavier Hutchinson,3,HOU,0,0,0,1,0,0,0
Robert Woods,3,HOU,0,0,0,2,2,18,0
Romeo Doubs,4,GB,0,0,0,8,4,39,0
Malik Heath,4,GB,0,0,0,2,2,12,0
Bo Melton,4,GB,0,0,0,3,1,28,0
Jayden Reed,4,GB,1,2,0,8,7,139,1
Christian Watson,4,GB,0,0,0,1,0,0,0
Dontayvion Wicks,4,GB,0,0,0,13,5,78,2
Allen Lazard,5,NYJ,0,0,0,10,4,34,1
Mike Williams,5,NYJ,0,0,0,4,2,25,0
Garrett Wilson,5,NYJ,0,0,0,22,13,101,1
Tim Patrick,7,DET,0,0,0,2,2,25,0
Kalif Raymond,7,DET,0,0,0,4,3,39,1
Amon-Ra St. Brown,7,DET,0,0,0,8,8,112,1
Jameson Williams,7,DET,0,0,0,1,1,-4,0
Tutu Atwell,8,LAR,0,0,0,2,1,18,0
Tyler Johnson,8,LAR,0,0,0,1,1,6,0
Cooper Kupp,8,LAR,0,0,0,8,5,51,1
Puka Nacua,8,LAR,2,5,0,9,7,106,0
Demarcus Robinson,8,LAR,0,0,0,3,2,35,2
Josh Downs,9,IND,0,0,0,9,6,60,0
Ashton Dulin,9,IND,2,17,0,2,0,0,0
Adonai Mitchell,9,IND,0,0,0,1,1,22,0
Alec Pierce,9,IND,0,0,0,3,3,41,0
Michael Pittman Jr.,9,IND,0,0,0,4,1,14,0
Gabe Davis,10,JAX,0,0,0,4,1,19,0
Brian Thomas Jr.,10,JAX,0,0,0,3,2,12,0
Tyler Boyd,11,TEN,0,0,0,3,2,34,0
Bryce Oliver,11,TEN,0,0,0,1,1,33,0
Calvin Ridley,11,TEN,0,0,0,6,4,58,0
Nick Westbrook-Ikhine,11,TEN,0,0,0,6,2,117,1
Keenan Allen,12,CHI,0,0,0,15,9,86,1
DJ Moore,12,CHI,1,13,0,7,7,106,1
Rome Odunze,12,CHI,0,0,0,10,5,39,0
Greg Dortch,13,ARI,1,6,0,3,2,1,0
Marvin Harrison Jr.,13,ARI,0,0,0,12,5,60,1
Michael Wilson,13,ARI,0,0,0,7,5,55,0
Drake London,14,ATL,0,0,0,10,5,70,0
Ray-Ray McCloud III,14,ATL,1,3,0,11,8,98,0
Darnell Mooney,14,ATL,0,0,0,7,6,142,0
Keenan Allen,15,CHI,0,0,0,13,6,82,1
DJ Moore,15,CHI,3,24,0,8,8,46,0
Rome Odunze,15,CHI,0,0,0,7,2,39,0
Tyler Scott,15,CHI,0,0,0,1,1,5,0
Jake Bobo,16,SEA,0,0,0,1,1,6,0
Tyler Lockett,16,SEA,0,0,0,2,2,19,0
DK Metcalf,16,SEA,0,0,0,7,3,57,1
Jaxon Smith-Njigba,16,SEA,1,5,0,12,8,95,1
Romeo Doubs,17,GB,0,0,0,11,7,58,0
Malik Heath,17,GB,0,0,0,1,1,3,1
Bo Melton,17,GB,0,0,0,4,3,18,0
Jayden Reed,17,GB,0,0,0,4,1,6,0
Dontayvion Wicks,17,GB,0,0,0,5,4,43,0
Tim Patrick,18,DET,0,0,0,2,2,15,0
Kalif Raymond,18,DET,0,0,0,1,1,11,0
Amon-Ra St. Brown,18,DET,0,0,0,7,6,77,0
Jameson Williams,18,DET,0,0,0,8,6,34,0
Cooper Kupp,19,LAR,0,0,0,1,1,29,0
Puka Nacua,19,LAR,1,7,0,9,5,44,0
Demarcus Robinson,19,LAR,0,0,0,2,1,23,0
