name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Joe Burrow,1,CIN,21,29,164,0,0,4,15,0
Geno Smith,2,SEA,33,44,327,1,0,5,8,0
Aaron Rodgers,3,NYJ,27,35,281,2,0,3,18,0
Brock Purdy,4,SF,15,27,288,1,1,5,11,0
Tyler Huntley,5,MIA,18,31,194,0,1,3,7,0
C.J. Stroud,6,HOU,20,31,192,3,1,3,7,0
Trevor Lawrence,7,JAX,15,20,193,1,0,2,13,0
Aaron Rodgers,8,NYJ,17,28,233,2,0,0,0,0
Mason Rudolph,9,TEN,20,33,240,2,1,4,19,0
Caleb Williams,10,CHI,16,30,120,0,0,2,15,0
Matthew Stafford,11,LAR,18,27,295,4,0,4,0,0
Tua Tagovailoa,12,MIA,29,40,317,4,0,3,-2,0
Anthony Richardson,13,IND,12,24,109,2,2,9,48,1
Kyler Murray,15,ARI,23,30,224,0,0,5,11,0
Clayton Tune,15,ARI,2,2,8,0,0,1,-1,0
Josh Allen,16,BUF,16,29,154,1,1,6,30,0
Taylor Heinicke,17,LAC,0,2,0,0,0,1,8,0
Justin Herbert,17,LAC,26,38,281,3,0,3,12,0
Mitchell Trubisky,18,BUF,15,21,101,1,0,4,12,0
Mike White,18,BUF,3,11,28,0,0,0,0,0
