name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Chase Brown,1,CIN,3,11,0,3,3,12,0
Zack Moss,1,CIN,9,44,1,4,2,17,0
Zach Charbonnet,2,SEA,14,38,1,5,5,31,0
Braelon Allen,3,NYJ,11,55,0,3,3,13,0
Isaiah Davis,3,NYJ,3,6,0,0,0,0,0
Breece Hall,3,NYJ,16,54,1,5,4,29,0
Isaac Guerendo,4,SF,1,0,0,0,0,0,0
Kyle Juszczyk,4,SF,0,0,0,1,1,12,0
Jordan Mason,4,SF,24,123,1,3,2,37,0
De'Von Achane,5,MIA,3,18,0,1,1,-1,0
Alec Ingold,5,MIA,1,3,1,0,0,0,0
Raheem Mostert,5,MIA,19,80,0,2,2,18,0
Jaylen Wright,5,MIA,13,86,0,0,0,0,0
Cam Akers,6,HOU,2,-1,0,0,0,0,0
Joe Mixon,6,HOU,13,102,1,3,2,30,1
Dare Ogunbowale,6,HOU,2,8,0,0,0,0,0
Dameon Pierce,6,HOU,8,76,1,1,1,1,0
Tank Bigsby,7,JAX,26,118,2,1,0,0,0
D'Ernest Johnson,7,JAX,9,38,0,4,3,32,0
Braelon Allen,8,NYJ,12,32,1,0,0,0,0
Breece Hall,8,NYJ,16,80,0,3,1,9,0
Julius Chestnut,9,TEN,5,22,0,0,0,0,0
Tony Pollard,9,TEN,28,128,0,3,3,26,0
Roschon Johnson,10,CHI,1,-4,0,2,1,5,0
D'Andre Swift,10,CHI,16,59,0,1,1,6,0
Blake Corum,11,LAR,5,21,0,1,1,7,0
Kyren Williams,11,LAR,15,86,0,0,0,0,0
De'Von Achane,12,MIA,10,32,0,4,3,24,2
Raheem Mostert,12,MIA,2,5,0,1,1,-3,0
Jaylen Wright,12,MIA,7,28,0,1,0,0,0
Jonathan Taylor,13,IND,25,96,0,1,1,7,1
Trey Benson,15,ARI,5,22,0,0,0,0,0
James Conner,15,ARI,16,110,2,5,5,28,0
DeeJay Dallas,15,ARI,4,15,0,0,0,0,0
James Cook,16,BUF,11,100,1,3,3,26,1
Ray Davis,16,BUF,5,12,0,1,1,17,0
Ty Johnson,16,BUF,6,30,0,1,0,0,0
J.K. Dobbins,17,LAC,19,76,1,1,1,7,0
Hassan Haskins,17,LAC,8,30,0,1,1,10,0
Kimani Vidal,17,LAC,5,24,0,2,0,0,0
James Cook,18,BUF,10,28,1,0,0,0,0
Ray Davis,18,BUF,15,64,0,3,2,1,1
Reggie Gilliam,18,BUF,1,4,0,0,0,0,0
Ty Johnson,18,BUF,2,13,0,2,1,0,0
