name,week,team,targ,rec,recyd,rectd
Mike Gesicki,1,CIN,4,3,18,0
Tanner Hudson,1,CIN,3,2,18,0
Noah Fant,2,SEA,3,1,14,0
Tyler Conklin,3,NYJ,6,5,93,0
Jeremy Ruckert,3,NYJ,2,2,15,0
George Kittle,4,SF,4,4,45,1
Jonnu Smith,5,MIA,8,5,62,0
Durham Smythe,5,MIA,1,0,0,0
Dalton Schultz,6,HOU,8,4,27,0
Cade Stover,6,HOU,1,0,0,0
Evan Engram,7,JAX,5,5,35,0
Tyler Conklin,8,NYJ,4,3,42,1
Jeremy Ruckert,8,NYJ,3,3,14,0
Chig Okonkwo,9,TEN,4,3,38,0
Nick Vannett,9,TEN,2,2,33,1
Josh Whyle,9,TEN,2,1,12,0
Cole Kmet,10,CHI,4,2,13,0
Colby Parkinson,11,LAR,1,1,19,1
Julian Hill,12,MIA,2,1,8,0
Jonnu Smith,12,MIA,11,9,87,1
Durham Smythe,12,MIA,1,1,8,0
Mo Alie-Cox,13,IND,2,2,15,0
Kylen Granson,13,IND,3,0,0,0
Will Mallory,13,IND,1,1,7,0
Drew Ogletree,13,IND,2,1,22,0
Elijah Higgins,15,ARI,1,1,5,0
Trey McBride,15,ARI,10,9,87,0
Tip Reiman,15,ARI,3,2,8,0
Dalton Kincaid,16,BUF,7,4,15,0
Dawson Knox,16,BUF,2,2,22,0
Will Dissly,17,LAC,3,2,21,0
Tucker Fisk,17,LAC,1,1,8,0
Stone Smartt,17,LAC,2,2,23,0
Quintin Morris,18,BUF,4,3,20,0
