name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Ja'Marr Chase,1,CIN,0,0,0,6,6,62,0
Andrei Iosivas,1,CIN,0,0,0,6,3,26,0
Trenton Irwin,1,CIN,0,0,0,2,1,6,0
Charlie Jones,1,CIN,0,0,0,1,1,5,0
Jake Bobo,2,SEA,0,0,0,2,2,15,0
Tyler Lockett,2,SEA,0,0,0,2,2,15,0
DK Metcalf,2,SEA,0,0,0,14,10,129,1
Laviska Shenault Jr.,2,SEA,0,0,0,1,1,6,0
Jaxon Smith-Njigba,2,SEA,0,0,0,16,12,117,0
Xavier Gipson,3,NYJ,0,0,0,2,2,16,0
Allen Lazard,3,NYJ,0,0,0,3,3,48,1
Mike Williams,3,NYJ,0,0,0,4,3,34,0
Garrett Wilson,3,NYJ,0,0,0,9,5,33,1
Brandon Aiyuk,4,SF,0,0,0,5,2,48,0
Chris Conley,4,SF,0,0,0,2,0,0,0
Jauan Jennings,4,SF,0,0,0,6,3,88,0
Deebo Samuel Sr.,4,SF,2,14,0,5,3,58,0
Odell Beckham Jr.,5,MIA,0,0,0,2,0,0,0
Tyreek Hill,5,MIA,0,0,0,9,6,69,0
Jaylen Waddle,5,MIA,0,0,0,8,4,46,0
Tank Dell,6,HOU,0,0,0,9,7,57,1
Stefon Diggs,6,HOU,0,0,0,7,6,77,1
Xavier Hutchinson,6,HOU,0,0,0,2,0,0,0
Gabe Davis,7,JAX,0,0,0,2,1,13,0
Christian Kirk,7,JAX,0,0,0,3,1,24,0
Brian Thomas Jr.,7,JAX,2,2,0,5,5,89,1
Davante Adams,8,NYJ,0,0,0,6,4,54,0
Xavier Gipson,8,NYJ,0,0,0,1,1,1,1
Garrett Wilson,8,NYJ,0,0,0,8,5,113,0
Tyler Boyd,9,TEN,1,3,0,0,0,0,0
Jha'Quan Jackson,9,TEN,1,-5,0,2,1,8,0
Calvin Ridley,9,TEN,0,0,0,8,5,73,0
Nick Westbrook-Ikhine,9,TEN,0,0,0,6,5,50,1
Keenan Allen,10,CHI,0,0,0,6,5,44,0
DeAndre Carter,10,CHI,0,0,0,1,1,5,0
DJ Moore,10,CHI,1,3,0,6,3,24,0
Rome Odunze,10,CHI,0,0,0,6,3,23,0
Tutu Atwell,11,LAR,0,0,0,2,1,21,0
Cooper Kupp,11,LAR,0,0,0,10,6,106,2
Puka Nacua,11,LAR,0,0,0,9,7,123,1
Demarcus Robinson,11,LAR,0,0,0,4,2,19,0
Odell Beckham Jr.,12,MIA,0,0,0,3,0,0,0
Tyreek Hill,12,MIA,0,0,0,6,5,48,0
Jaylen Waddle,12,MIA,0,0,0,9,8,144,1
Malik Washington,12,MIA,1,2,0,2,1,1,0
Adonai Mitchell,13,IND,0,0,0,2,0,0,0
Alec Pierce,13,IND,0,0,0,6,2,16,1
Michael Pittman Jr.,13,IND,0,0,0,7,5,42,0
Greg Dortch,15,ARI,1,6,0,3,3,60,0
Marvin Harrison Jr.,15,ARI,0,0,0,6,2,32,0
Zay Jones,15,ARI,0,0,0,1,1,3,0
Michael Wilson,15,ARI,0,0,0,2,2,9,0
Keon Coleman,16,BUF,0,0,0,2,1,17,0
Amari Cooper,16,BUF,0,0,0,2,1,10,0
Mack Hollins,16,BUF,0,0,0,3,2,25,0
Khalil Shakir,16,BUF,0,0,0,6,2,22,0
DJ Chark,17,LAC,0,0,0,4,0,0,0
Derius Davis,17,LAC,1,-3,0,2,2,29,1
Quentin Johnston,17,LAC,0,0,0,8,5,48,0
Ladd McConkey,17,LAC,0,0,0,10,8,94,2
Joshua Palmer,17,LAC,0,0,0,6,4,41,0
Keon Coleman,18,BUF,1,9,0,10,2,31,0
Mack Hollins,18,BUF,0,0,0,4,3,25,0
Curtis Samuel,18,BUF,0,0,0,8,7,52,0
