name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Bryce Young,1,CAR,13,30,161,0,2,4,12,1
Dak Prescott,2,DAL,27,39,293,1,2,2,12,0
Cooper Rush,2,DAL,1,3,6,0,0,0,0,0
Jalen Hurts,3,PHI,29,38,311,0,1,8,25,0
Kirk Cousins,4,ATL,21,35,238,0,1,0,0,0
Patrick Mahomes,5,KC,28,39,331,0,1,6,22,0
Baker Mayfield,6,TB,24,36,325,4,3,3,29,0
Bo Nix,7,DEN,16,26,164,0,0,10,75,0
Jarrett Stidham,7,DEN,0,0,0,0,0,2,-2,0
Justin Herbert,8,LAC,20,32,279,2,0,4,49,0
Bryce Young,9,CAR,16,26,171,1,1,4,9,0
Kirk Cousins,10,ATL,23,38,306,0,1,0,0,0
Jameis Winston,11,CLE,30,46,395,2,0,1,8,0
Matthew Stafford,13,LAR,14,24,183,2,0,4,3,0
Drew Lock,14,NYG,21,49,227,0,1,5,59,0
Jayden Daniels,15,WAS,25,31,226,2,0,11,66,0
Jordan Love,16,GB,16,28,182,1,0,1,2,0
Malik Willis,16,GB,1,2,34,0,0,3,-2,0
Aidan O'Connell,17,LV,20,35,242,2,0,3,-1,0
Baker Mayfield,18,TB,21,32,221,2,1,9,68,0
