name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Mike Boone,1,CAR,4,7,0,0,0,0,0
Chuba Hubbard,1,CAR,6,14,0,0,0,0,0
Miles Sanders,1,CAR,5,22,0,2,0,0,0
Rico Dowdle,2,DAL,7,30,0,5,4,29,0
Ezekiel Elliott,2,DAL,6,16,0,3,2,16,0
Deuce Vaughn,2,DAL,4,11,0,1,1,6,0
Saquon Barkley,3,PHI,17,147,2,4,4,9,0
Kenneth Gainwell,3,PHI,0,0,0,3,2,12,0
Tyler Allgeier,4,ATL,8,60,0,2,2,20,0
Bijan Robinson,4,ATL,7,28,0,4,4,46,0
Kareem Hunt,5,KC,27,102,1,1,1,15,0
Samaje Perine,5,KC,0,0,0,2,1,24,0
Carson Steele,5,KC,5,12,0,0,0,0,0
Bucky Irving,6,TB,14,81,1,2,2,24,0
Sean Tucker,6,TB,14,136,1,3,3,56,1
Audric Estime,7,DEN,5,29,0,0,0,0,0
Jaleel McLaughlin,7,DEN,4,35,0,0,0,0,0
Javonte Williams,7,DEN,14,88,2,3,3,23,0
J.K. Dobbins,8,LAC,17,57,1,7,4,11,0
Hassan Haskins,8,LAC,1,0,0,0,0,0,0
Kimani Vidal,8,LAC,6,16,0,0,0,0,0
Chuba Hubbard,9,CAR,15,72,2,3,2,0,0
Miles Sanders,9,CAR,2,-5,0,2,2,-5,0
Tyler Allgeier,10,ATL,11,59,0,0,0,0,0
Bijan Robinson,10,ATL,20,116,2,4,3,28,0
Nick Chubb,11,CLE,11,50,0,0,0,0,0
Jerome Ford,11,CLE,5,10,0,4,4,29,0
Pierre Strong Jr.,11,CLE,2,5,0,0,0,0,0
Blake Corum,13,LAR,8,42,0,0,0,0,0
Kyren Williams,13,LAR,15,104,1,1,1,9,0
Devin Singletary,14,NYG,2,8,0,0,0,0,0
Tyrone Tracy Jr.,14,NYG,16,45,1,10,5,38,0
Jeremy McNichols,15,WAS,2,4,0,2,1,0,0
Brian Robinson Jr.,15,WAS,21,65,0,3,3,22,0
Chris Rodriguez Jr.,15,WAS,1,2,0,0,0,0,0
Chris Brooks,16,GB,6,23,1,1,1,2,0
Josh Jacobs,16,GB,13,69,1,4,4,38,0
Emanuel Wilson,16,GB,11,52,1,1,1,4,0
Ameer Abdullah,17,LV,20,115,0,4,3,32,0
Chris Collier,17,LV,3,6,0,0,0,0,0
Alexander Mattison,17,LV,10,32,0,3,1,6,0
Bucky Irving,18,TB,19,89,1,5,2,-5,0
Sean Tucker,18,TB,2,16,0,0,0,0,0
