name,week,team,targ,rec,recyd,rectd
Jordan Matthews,1,CAR,1,0,0,0
Ja'Tavion Sanders,1,CAR,1,1,4,0
Luke Schoonmaker,2,DAL,6,6,43,0
Brevyn Spann-Ford,2,DAL,1,0,0,0
Dallas Goedert,3,PHI,11,10,170,0
Kyle Pitts,4,ATL,3,0,0,0
Jody Fortson,5,KC,1,1,5,0
Noah Gray,5,KC,2,2,29,0
Travis Kelce,5,KC,10,9,70,0
Ryan Miller,6,TB,1,1,39,0
Cade Otton,6,TB,6,2,15,1
Lucas Krull,7,DEN,4,3,41,0
Adam Trautman,7,DEN,3,0,0,0
Will Dissly,8,LAC,7,5,41,0
Eric Tomlinson,8,LAC,1,0,0,0
Ja'Tavion Sanders,9,CAR,5,4,87,0
Kyle Pitts,10,ATL,6,4,55,0
Charlie Woerner,10,ATL,1,0,0,0
Jordan Akins,11,CLE,4,1,19,0
David Njoku,11,CLE,9,9,81,0
Hunter Long,13,LAR,1,0,0,0
Colby Parkinson,13,LAR,1,1,13,0
Daniel Bellinger,14,NYG,7,5,45,0
John Bates,15,WAS,1,1,6,0
Zach Ertz,15,WAS,2,2,25,0
Ben Sinnott,15,WAS,1,1,7,0
Tucker Kraft,16,GB,4,3,63,0
Luke Musgrave,16,GB,1,0,0,0
Brock Bowers,17,LV,7,7,77,0
Michael Mayer,17,LV,2,1,14,0
Devin Culp,18,TB,2,2,36,0
Payne Durham,18,TB,2,2,16,1
