name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Diontae Johnson,1,CAR,0,0,0,6,2,19,0
Xavier Legette,1,CAR,0,0,0,7,4,35,0
Jonathan Mingo,1,CAR,1,3,0,5,2,40,0
David Moore,1,CAR,0,0,0,3,1,14,0
Adam Thielen,1,CAR,0,0,0,4,3,49,0
Jalen Brooks,2,DAL,0,0,0,3,1,10,0
Brandin Cooks,2,DAL,1,-3,0,2,2,19,0
CeeDee Lamb,2,DAL,0,0,0,7,4,90,1
Jalen Tolbert,2,DAL,0,0,0,9,6,82,0
KaVontae Turpin,2,DAL,1,2,0,4,2,4,0
Parris Campbell,3,PHI,0,0,0,2,2,13,0
Britain Covey,3,PHI,0,0,0,1,1,11,0
Jahan Dotson,3,PHI,0,0,0,3,2,8,0
DeVonta Smith,3,PHI,0,0,0,10,7,79,0
Johnny Wilson,3,PHI,0,0,0,2,1,9,0
Drake London,4,ATL,0,0,0,12,6,64,0
Ray-Ray McCloud III,4,ATL,0,0,0,7,6,52,0
Darnell Mooney,4,ATL,0,0,0,6,3,56,0
Mecole Hardman,5,KC,0,0,0,4,4,33,0
JuJu Smith-Schuster,5,KC,0,0,0,8,7,130,0
Xavier Worthy,5,KC,1,3,1,6,3,25,0
Mike Evans,6,TB,0,0,0,6,2,34,0
Chris Godwin,6,TB,0,0,0,13,11,125,2
Jalen McMillan,6,TB,0,0,0,1,0,0,0
Sterling Shepard,6,TB,4,31,0,4,3,23,0
Troy Franklin,7,DEN,0,0,0,6,5,50,0
Lil'Jordan Humphrey,7,DEN,0,0,0,3,2,12,0
Marvin Mims Jr.,7,DEN,0,0,0,3,2,18,0
Devaughn Vele,7,DEN,0,0,0,3,1,20,0
Simi Fehoko,8,LAC,0,0,0,2,0,0,0
Ladd McConkey,8,LAC,0,0,0,6,6,111,2
Joshua Palmer,8,LAC,0,0,0,4,2,72,0
Jalen Reagor,8,LAC,0,0,0,2,2,35,0
Jalen Coker,9,CAR,0,0,0,3,2,36,0
Xavier Legette,9,CAR,1,6,0,6,4,33,1
Jonathan Mingo,9,CAR,0,0,0,1,0,0,0
David Moore,9,CAR,0,0,0,4,2,20,0
Deven Thompkins,9,CAR,1,-2,0,0,0,0,0
Drake London,10,ATL,0,0,0,12,8,97,0
Ray-Ray McCloud III,10,ATL,1,6,0,4,3,30,0
Darnell Mooney,10,ATL,0,0,0,10,5,96,0
Jerry Jeudy,11,CLE,0,0,0,11,6,142,1
Elijah Moore,11,CLE,0,0,0,8,6,66,1
Jamari Thrash,11,CLE,0,0,0,1,1,11,0
Cedric Tillman,11,CLE,0,0,0,8,3,47,0
Kadarius Toney,11,CLE,1,-7,0,0,0,0,0
Tutu Atwell,13,LAR,1,0,0,2,2,39,0
Tyler Johnson,13,LAR,0,0,0,1,0,0,0
Cooper Kupp,13,LAR,0,0,0,6,3,17,0
Puka Nacua,13,LAR,1,7,0,8,5,56,1
Demarcus Robinson,13,LAR,0,0,0,3,2,49,1
Jalin Hyatt,14,NYG,0,0,0,2,0,0,0
Malik Nabers,14,NYG,0,0,0,10,5,79,0
Wan'Dale Robinson,14,NYG,0,0,0,11,4,38,0
Darius Slayton,14,NYG,0,0,0,6,2,27,0
Dyami Brown,15,WAS,0,0,0,4,3,30,0
Jamison Crowder,15,WAS,0,0,0,3,3,27,0
Luke McCaffrey,15,WAS,0,0,0,1,1,0,0
Terry McLaurin,15,WAS,0,0,0,10,7,73,2
Olamide Zaccheaus,15,WAS,0,0,0,4,3,36,0
Romeo Doubs,16,GB,0,0,0,3,2,20,0
Bo Melton,16,GB,1,14,0,1,0,0,0
Jayden Reed,16,GB,1,5,0,4,3,76,0
Christian Watson,16,GB,2,23,0,1,0,0,0
Dontayvion Wicks,16,GB,0,0,0,7,3,13,1
Terrace Marshall Jr.,17,LV,0,0,0,2,1,28,0
Jakobi Meyers,17,LV,0,0,0,9,5,61,1
Tre Tucker,17,LV,1,5,0,8,2,24,1
Mike Evans,18,TB,0,0,0,14,9,89,0
Jalen McMillan,18,TB,1,6,0,6,5,74,1
Sterling Shepard,18,TB,0,0,0,2,1,11,0
