name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Sam Darnold,1,MIN,19,24,208,2,1,3,3,0
Jayden Daniels,2,WAS,23,29,226,0,0,10,44,0
Deshaun Watson,3,CLE,21,37,196,2,0,4,26,0
Jameis Winston,3,CLE,0,0,0,0,0,2,1,0
Dak Prescott,4,DAL,22,27,221,2,0,2,-1,0
Geno Smith,5,SEA,28,40,284,1,0,4,72,0
Joe Burrow,6,CIN,19,28,208,0,0,4,55,1
Jalen Hurts,7,PHI,10,14,114,1,0,7,22,2
Russell Wilson,8,PIT,20,28,278,1,0,3,7,0
Jayden Daniels,9,WAS,15,22,209,2,0,8,35,0
Bryce Young,10,CAR,15,25,126,1,0,2,30,0
Baker Mayfield,12,TB,24,30,294,0,0,4,29,1
Cooper Rush,13,DAL,21,36,195,1,0,5,0,0
Derek Carr,14,NO,20,31,219,1,1,2,12,0
Jake Haener,14,NO,0,0,0,0,0,1,-1,0
Lamar Jackson,15,BAL,21,25,290,5,0,6,65,0
Josh Johnson,15,BAL,0,0,0,0,0,1,-1,0
Michael Penix Jr.,16,ATL,18,27,202,0,1,4,3,0
Joe Flacco,17,IND,26,38,330,2,2,1,1,0
Tanner McKee,18,PHI,27,41,269,2,0,3,1,0
