name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Ty Chandler,1,MIN,8,17,0,3,3,25,0
Myles Gaskin,1,MIN,1,-3,0,0,0,0,0
C.J. Ham,1,MIN,0,0,0,2,2,11,0
Aaron Jones,1,MIN,14,94,1,2,2,15,0
Austin Ekeler,2,WAS,8,38,0,3,3,47,0
Brian Robinson Jr.,2,WAS,17,133,0,3,1,3,0
Jerome Ford,3,CLE,10,37,0,4,3,33,0
D'Onta Foreman,3,CLE,2,5,0,0,0,0,0
Rico Dowdle,4,DAL,11,46,0,1,1,15,1
Ezekiel Elliott,4,DAL,5,19,0,1,1,5,0
Hunter Luepke,4,DAL,2,8,0,2,2,14,0
Zach Charbonnet,5,SEA,2,11,0,5,3,19,0
Kenneth Walker III,5,SEA,5,19,0,8,7,57,0
Chase Brown,6,CIN,10,53,1,3,2,11,0
Zack Moss,6,CIN,6,13,0,1,1,2,0
Saquon Barkley,7,PHI,17,176,1,3,2,11,0
Kenneth Gainwell,7,PHI,13,56,0,1,1,11,0
Will Shipley,7,PHI,8,15,0,0,0,0,0
Najee Harris,8,PIT,19,114,0,4,3,17,0
Jaylen Warren,8,PIT,9,46,0,3,2,13,0
Austin Ekeler,9,WAS,11,42,1,4,3,41,0
Jeremy McNichols,9,WAS,8,20,0,1,0,0,0
Chris Rodriguez Jr.,9,WAS,11,52,0,0,0,0,0
Chuba Hubbard,10,CAR,28,153,1,6,4,16,0
Miles Sanders,10,CAR,2,5,0,0,0,0,0
Bucky Irving,12,TB,12,87,1,6,6,64,0
Sean Tucker,12,TB,4,3,1,1,1,7,0
Rachaad White,12,TB,12,37,1,1,1,10,0
Rico Dowdle,13,DAL,22,112,1,3,3,11,0
Ezekiel Elliott,13,DAL,1,4,0,0,0,0,0
Hunter Luepke,13,DAL,3,4,0,0,0,0,0
Alvin Kamara,14,NO,17,44,0,5,5,35,0
Kendre Miller,14,NO,10,32,1,1,0,0,0
Jamaal Williams,14,NO,3,5,0,2,2,10,0
Rasheen Ali,15,BAL,8,32,0,0,0,0,0
Derrick Henry,15,BAL,14,67,0,0,0,0,0
Justice Hill,15,BAL,2,7,0,5,5,61,1
Tyler Allgeier,16,ATL,11,22,0,1,1,9,0
Bijan Robinson,16,ATL,22,94,2,2,2,9,0
Trey Sermon,17,IND,0,0,0,1,1,10,0
Jonathan Taylor,17,IND,32,125,2,4,2,11,0
Kenneth Gainwell,18,PHI,11,14,0,4,2,9,0
Will Shipley,18,PHI,10,32,0,4,4,35,0
