name,week,team,targ,rec,recyd,rectd
Johnny Mundt,1,MIN,3,2,15,0
Josh Oliver,1,MIN,2,2,27,0
John Bates,2,WAS,1,1,5,0
Zach Ertz,2,WAS,4,4,62,0
Jordan Akins,3,CLE,7,4,29,0
Jake Ferguson,4,DAL,7,7,49,0
AJ Barner,5,SEA,1,1,13,0
Pharaoh Brown,5,SEA,1,1,7,0
Noah Fant,5,SEA,3,3,24,0
Erick All Jr.,6,CIN,3,2,10,0
Grant Calcaterra,7,PHI,1,1,5,0
Pat Freiermuth,8,PIT,2,2,19,0
MyCole Pruitt,8,PIT,1,1,10,0
Darnell Washington,8,PIT,1,1,29,0
Zach Ertz,9,WAS,1,1,5,0
Ben Sinnott,9,WAS,1,1,12,0
Ja'Tavion Sanders,10,CAR,2,2,8,1
Ian Thomas,10,CAR,1,1,3,0
Payne Durham,12,TB,1,1,26,0
Ryan Miller,12,TB,1,1,14,0
Cade Otton,12,TB,3,1,30,0
Luke Schoonmaker,13,DAL,6,5,33,0
Dallin Holker,14,NO,1,1,10,0
Juwan Johnson,14,NO,5,4,50,1
Foster Moreau,14,NO,2,2,40,0
Mark Andrews,15,BAL,2,2,24,1
Isaiah Likely,15,BAL,2,2,17,0
Kyle Pitts,16,ATL,2,1,7,0
Charlie Woerner,16,ATL,2,0,0,0
Mo Alie-Cox,17,IND,1,0,0,0
Kylen Granson,17,IND,4,3,34,0
Grant Calcaterra,18,PHI,4,2,10,0
Dallas Goedert,18,PHI,6,4,55,0
E.J. Jenkins,18,PHI,1,1,7,1
