name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jordan Addison,1,MIN,0,0,0,4,3,35,0
Justin Jefferson,1,MIN,0,0,0,6,4,59,1
Jalen Nailor,1,MIN,0,0,0,1,1,21,1
Dyami Brown,2,WAS,0,0,0,4,2,17,0
Noah Brown,2,WAS,0,0,0,3,3,56,0
Terry McLaurin,2,WAS,0,0,0,8,6,22,0
Olamide Zaccheaus,2,WAS,0,0,0,3,3,14,0
Amari Cooper,3,CLE,0,0,0,12,7,86,2
Jerry Jeudy,3,CLE,0,0,0,7,4,27,0
Elijah Moore,3,CLE,0,0,0,3,2,17,0
Cedric Tillman,3,CLE,0,0,0,2,1,4,0
Brandin Cooks,4,DAL,0,0,0,4,1,16,0
CeeDee Lamb,4,DAL,3,8,0,8,7,98,1
Jalen Tolbert,4,DAL,0,0,0,3,3,24,0
Jake Bobo,5,SEA,0,0,0,1,1,3,0
Tyler Lockett,5,SEA,0,0,0,6,4,75,0
DK Metcalf,5,SEA,0,0,0,7,4,55,0
Jaxon Smith-Njigba,5,SEA,0,0,0,7,4,31,1
Ja'Marr Chase,6,CIN,0,0,0,6,5,72,0
Tee Higgins,6,CIN,0,0,0,7,7,77,0
Andrei Iosivas,6,CIN,0,0,0,3,2,36,0
A.J. Brown,7,PHI,0,0,0,5,5,89,1
Parris Campbell,7,PHI,0,0,0,1,0,0,0
Jahan Dotson,7,PHI,0,0,0,1,0,0,0
DeVonta Smith,7,PHI,0,0,0,2,1,-2,0
Calvin Austin III,8,PIT,0,0,0,4,3,54,1
Van Jefferson,8,PIT,0,0,0,5,4,62,0
Scotty Miller,8,PIT,0,0,0,2,0,0,0
George Pickens,8,PIT,0,0,0,5,4,74,0
Dyami Brown,9,WAS,0,0,0,1,1,24,0
Noah Brown,9,WAS,0,0,0,6,5,60,0
Terry McLaurin,9,WAS,0,0,0,3,2,19,2
Olamide Zaccheaus,9,WAS,0,0,0,2,2,48,0
Jalen Coker,10,CAR,0,0,0,8,3,41,0
Xavier Legette,10,CAR,0,0,0,4,3,40,0
David Moore,10,CAR,0,0,0,4,2,18,0
Mike Evans,12,TB,0,0,0,6,5,68,0
Rakim Jarrett,12,TB,0,0,0,1,1,30,0
Jalen McMillan,12,TB,0,0,0,2,1,11,0
Trey Palmer,12,TB,0,0,0,1,1,18,0
Sterling Shepard,12,TB,0,0,0,7,5,16,0
Jalen Brooks,13,DAL,0,0,0,1,1,0,0
Brandin Cooks,13,DAL,0,0,0,7,3,16,1
CeeDee Lamb,13,DAL,0,0,0,6,2,39,0
Jonathan Mingo,13,DAL,0,0,0,4,1,2,0
Jalen Tolbert,13,DAL,0,0,0,4,2,41,0
KaVontae Turpin,13,DAL,1,2,0,5,4,53,0
Kevin Austin Jr.,14,NO,0,0,0,5,1,5,0
Dante Pettis,14,NO,0,0,0,2,0,0,0
Marquez Valdes-Scantling,14,NO,0,0,0,7,4,51,0
Cedrick Wilson Jr.,14,NO,0,0,0,1,1,18,0
Nelson Agholor,15,BAL,0,0,0,1,1,26,0
Rashod Bateman,15,BAL,0,0,0,5,3,80,2
Zay Flowers,15,BAL,0,0,0,7,6,53,0
Devontez Walker,15,BAL,0,0,0,1,1,21,1
Tylan Wallace,15,BAL,0,0,0,1,1,8,0
Chris Blair,16,ATL,0,0,0,1,1,17,0
Drake London,16,ATL,0,0,0,8,5,59,0
Ray-Ray McCloud III,16,ATL,1,8,0,4,3,19,0
Darnell Mooney,16,ATL,0,0,0,6,5,82,0
Josh Downs,17,IND,0,0,0,4,3,22,0
Adonai Mitchell,17,IND,0,0,0,4,2,22,0
Alec Pierce,17,IND,0,0,0,9,6,122,1
Michael Pittman Jr.,17,IND,0,0,0,10,9,109,1
Jahan Dotson,18,PHI,0,0,0,11,7,94,0
Ainias Smith,18,PHI,1,4,0,6,4,35,1
Johnny Wilson,18,PHI,0,0,0,5,3,24,0
