name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Brandon Allen,1,SF,0,0,0,0,0,1,-1,0
Brock Purdy,1,SF,19,29,231,0,0,1,11,0
Will Levis,2,TEN,19,28,192,1,1,4,38,0
Jacoby Brissett,3,NE,12,18,98,0,0,0,0,0
Drake Maye,3,NE,4,8,22,0,0,2,12,0
Bo Nix,4,DEN,12,25,60,1,0,5,3,0
Sam Darnold,5,MIN,14,31,179,0,1,5,11,0
Nick Mullens,5,MIN,1,1,24,0,0,0,0,0
Josh Allen,6,BUF,19,25,215,2,0,9,18,1
Russell Wilson,7,PIT,16,29,264,2,0,3,3,1
Jacoby Brissett,8,NE,15,24,132,0,0,3,11,0
Drake Maye,8,NE,3,6,23,0,0,3,46,1
C.J. Stroud,9,HOU,11,30,191,0,0,8,59,0
Kyler Murray,10,ARI,22,24,266,1,0,3,21,2
Clayton Tune,10,ARI,0,0,0,0,0,1,-1,0
Anthony Richardson,11,IND,20,30,272,1,0,10,32,2
Geno Smith,13,SEA,20,31,206,1,0,2,2,0
Tua Tagovailoa,14,MIA,33,47,331,2,0,1,3,0
Mac Jones,15,JAX,31,46,294,2,2,4,29,0
Matthew Stafford,16,LAR,14,19,110,1,1,3,-4,0
Josh Allen,17,BUF,16,27,182,2,0,5,17,1
Mitchell Trubisky,17,BUF,1,1,69,1,0,2,-1,0
Tyler Huntley,18,MIA,25,41,227,1,2,3,16,0
