name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Kyle Juszczyk,1,SF,0,0,0,3,2,40,0
Jordan Mason,1,SF,28,147,1,1,1,5,0
Tony Pollard,2,TEN,17,62,0,6,5,40,0
Tyjae Spears,2,TEN,6,20,0,2,2,11,0
Antonio Gibson,3,NE,5,29,0,3,3,8,0
JaMycal Hasty,3,NE,1,5,0,0,0,0,0
Rhamondre Stevenson,3,NE,6,23,0,0,0,0,0
Tyler Badie,4,DEN,1,0,0,2,2,-4,0
Michael Burton,4,DEN,0,0,0,1,1,3,0
Jaleel McLaughlin,4,DEN,9,46,0,1,1,0,0
Javonte Williams,4,DEN,16,77,0,3,2,3,0
Ty Chandler,5,MIN,14,30,0,2,2,9,0
Myles Gaskin,5,MIN,2,2,0,1,1,11,0
C.J. Ham,5,MIN,2,10,1,0,0,0,0
Aaron Jones,5,MIN,7,29,0,1,1,24,0
Ray Davis,6,BUF,20,97,0,3,3,55,0
Ty Johnson,6,BUF,4,34,0,0,0,0,0
Najee Harris,7,PIT,21,102,1,1,0,0,0
Jaylen Warren,7,PIT,12,44,0,3,2,15,0
Antonio Gibson,8,NE,5,6,0,0,0,0,0
Rhamondre Stevenson,8,NE,20,48,2,3,3,17,0
Joe Mixon,9,HOU,24,106,1,0,0,0,0
Dare Ogunbowale,9,HOU,1,-1,0,3,0,0,0
J.J. Taylor,9,HOU,3,23,0,0,0,0,0
Trey Benson,10,ARI,10,62,0,2,2,25,0
James Conner,10,ARI,12,33,1,5,5,80,0
DeeJay Dallas,10,ARI,3,10,0,0,0,0,0
Emari Demercado,10,ARI,3,22,0,0,0,0,0
Trey Sermon,11,IND,0,0,0,1,1,3,0
Jonathan Taylor,11,IND,24,57,0,2,1,3,0
Zach Charbonnet,13,SEA,4,28,1,3,2,13,0
Kenneth Walker III,13,SEA,16,49,0,3,2,-3,0
De'Von Achane,14,MIA,14,24,1,7,6,45,0
Jeff Wilson Jr.,14,MIA,1,4,0,1,1,7,0
Jaylen Wright,14,MIA,2,7,0,3,2,6,0
Tank Bigsby,15,JAX,11,42,0,1,0,0,0
Travis Etienne Jr.,15,JAX,14,65,0,5,4,20,0
Blake Corum,16,LAR,5,14,0,0,0,0,0
Kyren Williams,16,LAR,23,122,1,1,1,7,0
James Cook,17,BUF,15,53,1,0,0,0,0
Ray Davis,17,BUF,6,9,0,1,1,4,0
Reggie Gilliam,17,BUF,2,3,0,0,0,0,0
Ty Johnson,17,BUF,4,16,0,1,1,9,0
De'Von Achane,18,MIA,11,121,1,0,0,0,0
Alec Ingold,18,MIA,0,0,0,2,2,21,0
Jeff Wilson Jr.,18,MIA,2,-4,0,0,0,0,0
Jaylen Wright,18,MIA,6,-4,0,0,0,0,0
