name,week,team,targ,rec,recyd,rectd
George Kittle,1,SF,5,4,40,0
Eric Saubert,1,SF,1,0,0,0
Chig Okonkwo,2,TEN,3,3,16,0
Josh Whyle,2,TEN,2,2,13,0
Hunter Henry,3,NE,3,2,9,0
Austin Hooper,3,NE,4,1,19,0
Nate Adkins,4,DEN,1,1,0,0
Greg Dulcich,4,DEN,1,0,0,0
Johnny Mundt,5,MIN,2,2,31,0
Dalton Kincaid,6,BUF,7,6,51,0
Dawson Knox,6,BUF,1,1,12,1
Pat Freiermuth,7,PIT,3,2,51,0
Darnell Washington,7,PIT,4,4,36,0
Hunter Henry,8,NE,6,5,45,0
Austin Hooper,8,NE,4,3,15,0
Dalton Schultz,9,HOU,6,3,21,0
Cade Stover,9,HOU,2,0,0,0
Elijah Higgins,10,ARI,2,2,13,0
Trey McBride,10,ARI,5,4,71,0
Mo Alie-Cox,11,IND,3,2,17,0
Kylen Granson,11,IND,2,1,4,0
Drew Ogletree,11,IND,1,1,8,0
AJ Barner,13,SEA,2,2,14,1
Pharaoh Brown,13,SEA,1,0,0,0
Noah Fant,13,SEA,4,3,26,0
Julian Hill,14,MIA,1,1,14,0
Jonnu Smith,14,MIA,4,3,44,1
Durham Smythe,14,MIA,1,0,0,0
Brenton Strange,15,JAX,12,11,73,0
Tyler Higbee,16,LAR,2,1,11,1
Colby Parkinson,16,LAR,1,0,0,0
Dalton Kincaid,17,BUF,2,2,24,0
Dawson Knox,17,BUF,3,1,4,0
Quintin Morris,17,BUF,1,0,0,0
Julian Hill,18,MIA,1,0,0,0
Jonnu Smith,18,MIA,12,9,56,1
Durham Smythe,18,MIA,1,0,0,0
