name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Brandon Aiyuk,1,SF,0,0,0,5,2,28,0
Jauan Jennings,1,SF,0,0,0,5,5,64,0
Deebo Samuel Sr.,1,SF,8,23,1,9,5,54,0
Tyler Boyd,2,TEN,0,0,0,5,2,26,0
Treylon Burks,2,TEN,0,0,0,1,0,0,0
DeAndre Hopkins,2,TEN,0,0,0,2,1,9,0
Calvin Ridley,2,TEN,1,10,1,6,4,77,1
Kayshon Boutte,3,NE,0,0,0,2,1,2,0
DeMario Douglas,3,NE,1,9,0,9,7,69,0
Ja'Lynn Polk,3,NE,0,0,0,2,2,13,0
Tyquan Thornton,3,NE,0,0,0,1,0,0,0
Troy Franklin,4,DEN,0,0,0,4,2,-2,0
Lil'Jordan Humphrey,4,DEN,0,0,0,1,0,0,0
Josh Reynolds,4,DEN,0,0,0,2,0,0,0
Courtland Sutton,4,DEN,0,0,0,9,3,60,1
Jordan Addison,5,MIN,0,0,0,8,3,36,0
Justin Jefferson,5,MIN,0,0,0,14,6,92,0
Keon Coleman,6,BUF,0,0,0,4,3,26,0
Mack Hollins,6,BUF,0,0,0,2,1,8,1
Curtis Samuel,6,BUF,0,0,0,4,3,44,0
Khalil Shakir,6,BUF,0,0,0,2,2,19,0
Calvin Austin III,7,PIT,0,0,0,4,1,36,0
Van Jefferson,7,PIT,0,0,0,3,2,15,1
George Pickens,7,PIT,0,0,0,9,5,111,1
Kendrick Bourne,8,NE,0,0,0,3,0,0,0
Kayshon Boutte,8,NE,0,0,0,6,3,46,0
DeMario Douglas,8,NE,0,0,0,3,2,12,0
K.J. Osborn,8,NE,0,0,0,1,0,0,0
Tyquan Thornton,8,NE,0,0,0,3,2,20,0
Tank Dell,9,HOU,0,0,0,9,6,126,0
Xavier Hutchinson,9,HOU,0,0,0,3,0,0,0
John Metchie III,9,HOU,0,0,0,2,0,0,0
Robert Woods,9,HOU,0,0,0,3,2,44,0
Greg Dortch,10,ARI,0,0,0,1,1,-1,0
Marvin Harrison Jr.,10,ARI,0,0,0,5,5,54,1
Michael Wilson,10,ARI,0,0,0,4,3,24,0
Josh Downs,11,IND,0,0,0,5,5,84,1
Adonai Mitchell,11,IND,1,2,0,2,1,33,0
Alec Pierce,11,IND,0,0,0,4,3,74,0
Michael Pittman Jr.,11,IND,0,0,0,8,5,46,0
Tyler Lockett,13,SEA,0,0,0,3,3,16,0
DK Metcalf,13,SEA,0,0,0,9,4,66,0
Jaxon Smith-Njigba,13,SEA,1,5,0,4,4,74,0
Odell Beckham Jr.,14,MIA,0,0,0,1,1,1,0
Tyreek Hill,14,MIA,1,6,0,14,10,115,1
Jaylen Waddle,14,MIA,0,0,0,12,9,99,0
Malik Washington,14,MIA,0,0,0,1,0,0,0
Devin Duvernay,15,JAX,0,0,0,4,3,42,0
Josh Reynolds,15,JAX,0,0,0,1,0,0,0
Brian Thomas Jr.,15,JAX,0,0,0,14,10,105,2
Parker Washington,15,JAX,0,0,0,6,3,54,0
Tutu Atwell,16,LAR,0,0,0,2,1,12,0
Cooper Kupp,16,LAR,0,0,0,3,3,24,0
Puka Nacua,16,LAR,0,0,0,9,8,56,0
Demarcus Robinson,16,LAR,0,0,0,1,0,0,0
Keon Coleman,17,BUF,0,0,0,7,3,27,1
Amari Cooper,17,BUF,0,0,0,3,3,56,1
Mack Hollins,17,BUF,0,0,0,2,2,33,0
Khalil Shakir,17,BUF,0,0,0,6,3,25,0
Tyrell Shavers,17,BUF,0,0,0,1,1,69,1
River Cracraft,18,MIA,0,0,0,4,4,38,0
Tyreek Hill,18,MIA,0,0,0,3,2,20,0
Jaylen Waddle,18,MIA,1,6,0,9,4,44,0
Malik Washington,18,MIA,0,0,0,5,4,48,0
