name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Josh Jacobs,1,GB,16,84,0,3,2,20,0
Emanuel Wilson,1,GB,4,46,0,3,2,2,0
Tyler Allgeier,2,ATL,9,53,0,1,1,12,0
Bijan Robinson,2,ATL,14,97,0,5,4,25,0
Alvin Kamara,3,NO,26,87,0,3,3,40,0
Jamaal Williams,3,NO,1,-1,0,3,1,0,0
Bucky Irving,4,TB,10,49,1,2,1,6,0
Sean Tucker,4,TB,1,3,0,1,1,14,0
Rachaad White,4,TB,10,49,0,3,2,35,0
Jerome Ford,6,CLE,2,14,0,0,0,0,0
D'Onta Foreman,6,CLE,10,31,0,2,2,16,0
Pierre Strong Jr.,6,CLE,8,43,0,3,2,35,0
Eric Gray,7,NYG,1,2,0,1,1,7,0
Devin Singletary,7,NYG,5,18,0,1,1,3,0
Tyrone Tracy Jr.,7,NYG,6,23,0,3,3,9,0
Chase Brown,8,CIN,12,32,1,4,2,2,0
Zack Moss,8,CIN,5,11,0,4,4,28,0
Tank Bigsby,9,JAX,8,22,0,0,0,0,0
Travis Etienne Jr.,9,JAX,3,24,0,3,2,6,0
D'Ernest Johnson,9,JAX,2,6,0,1,0,0,0
Rico Dowdle,10,DAL,12,53,0,3,3,3,0
Ezekiel Elliott,10,DAL,6,22,0,0,0,0,0
Hunter Luepke,10,DAL,0,0,0,1,0,0,0
Austin Ekeler,11,WAS,2,7,0,9,8,89,0
Jeremy McNichols,11,WAS,3,5,0,1,1,1,0
Brian Robinson Jr.,11,WAS,16,63,1,1,1,9,0
Blake Corum,12,LAR,1,5,0,0,0,0,0
Kyren Williams,12,LAR,16,72,1,0,0,0,0
Derrick Henry,13,BAL,19,82,0,3,3,29,0
Justice Hill,13,BAL,3,6,0,6,4,15,0
Jonathon Brooks,14,CAR,1,-3,0,0,0,0,0
Chuba Hubbard,14,CAR,26,92,1,5,4,15,0
Najee Harris,15,PIT,6,14,0,1,1,7,0
Cordarrelle Patterson,15,PIT,2,9,0,1,1,-1,0
Jaylen Warren,15,PIT,4,12,0,2,1,3,0
Jeremy McNichols,16,WAS,2,3,0,4,4,15,0
Brian Robinson Jr.,16,WAS,10,24,0,3,2,17,0
Chris Rodriguez Jr.,16,WAS,3,5,0,0,0,0,0
Rico Dowdle,17,DAL,23,104,0,1,1,4,0
Ezekiel Elliott,17,DAL,3,2,0,0,0,0,0
Hunter Luepke,17,DAL,0,0,0,1,1,1,0
Eric Gray,18,NYG,1,6,0,1,1,4,0
Devin Singletary,18,NYG,7,22,0,1,1,-5,0
Tyrone Tracy Jr.,18,NYG,14,59,0,2,2,7,0
Chris Brooks,19,GB,0,0,0,3,2,9,0
Josh Jacobs,19,GB,18,81,1,3,3,40,0
Emanuel Wilson,19,GB,3,6,0,3,1,23,0
Kyren Williams,20,LAR,19,106,0,2,1,-1,0
Austin Ekeler,21,WAS,8,15,0,7,5,17,0
Brian Robinson Jr.,21,WAS,11,36,0,0,0,0,0
Kareem Hunt,22,KC,3,9,0,1,1,5,0
Isiah Pacheco,22,KC,3,7,0,2,1,5,0
Samaje Perine,22,KC,1,8,0,1,0,0,0
