name,week,team,targ,rec,recyd,rectd
Tucker Kraft,1,GB,3,2,37,0
Luke Musgrave,1,GB,2,0,0,0
Kyle Pitts,2,ATL,4,3,20,0
Foster Moreau,3,NO,2,1,2,0
Cade Otton,4,TB,9,6,52,0
David Njoku,6,CLE,7,5,31,0
Daniel Bellinger,7,NYG,1,1,11,0
Erick All Jr.,8,CIN,2,2,32,0
Mike Gesicki,8,CIN,8,7,73,0
Evan Engram,9,JAX,10,5,45,0
Luke Farrell,9,JAX,1,1,5,0
Jake Ferguson,10,DAL,5,4,24,0
Luke Schoonmaker,10,DAL,1,0,0,0
John Bates,11,WAS,3,2,17,0
Zach Ertz,11,WAS,7,6,47,1
Davis Allen,12,LAR,1,0,0,0
Colby Parkinson,12,LAR,2,1,10,0
Mark Andrews,13,BAL,7,6,67,1
Isaiah Likely,13,BAL,8,5,38,1
Ja'Tavion Sanders,14,CAR,1,0,0,0
Tommy Tremble,14,CAR,2,1,3,1
Pat Freiermuth,15,PIT,6,3,22,1
John Bates,16,WAS,1,0,0,0
Zach Ertz,16,WAS,2,1,12,0
Jake Ferguson,17,DAL,5,3,18,0
Daniel Bellinger,18,NYG,2,2,9,0
Chris Manhertz,18,NYG,1,1,16,0
Tucker Kraft,19,GB,5,5,26,0
Tyler Higbee,20,LAR,10,7,54,1
Colby Parkinson,20,LAR,2,2,9,1
John Bates,21,WAS,2,2,11,0
Zach Ertz,21,WAS,16,11,104,0
Ben Sinnott,21,WAS,1,1,23,0
Noah Gray,22,KC,1,1,2,0
Travis Kelce,22,KC,6,4,39,0
