name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Romeo Doubs,1,GB,0,0,0,7,4,50,0
Jayden Reed,1,GB,1,33,1,6,4,138,1
Christian Watson,1,GB,0,0,0,5,3,13,1
Dontayvion Wicks,1,GB,0,0,0,3,0,0,0
Drake London,2,ATL,0,0,0,7,6,54,1
Ray-Ray McCloud III,2,ATL,1,3,0,5,3,42,0
Darnell Mooney,2,ATL,0,0,0,7,3,88,1
Chris Olave,3,NO,0,0,0,6,6,86,1
Rashid Shaheed,3,NO,0,0,0,5,0,0,0
Mason Tipton,3,NO,0,0,0,3,2,11,0
Cedrick Wilson Jr.,3,NO,0,0,0,1,1,3,0
Mike Evans,4,TB,0,0,0,14,8,94,1
Chris Godwin,4,TB,0,0,0,9,6,69,0
Kameron Johnson,4,TB,0,0,0,1,0,0,0
Trey Palmer,4,TB,0,0,0,3,3,26,1
Sterling Shepard,4,TB,0,0,0,5,3,51,0
Amari Cooper,6,CLE,0,0,0,6,4,42,0
Jaelon Darden,6,CLE,0,0,0,1,1,6,0
Jerry Jeudy,6,CLE,0,0,0,3,1,35,0
Elijah Moore,6,CLE,0,0,0,1,1,3,0
Cedric Tillman,6,CLE,1,-5,0,0,0,0,0
Jalin Hyatt,7,NYG,0,0,0,1,0,0,0
Malik Nabers,7,NYG,0,0,0,8,4,41,0
Wan'Dale Robinson,7,NYG,0,0,0,9,6,23,0
Darius Slayton,7,NYG,0,0,0,3,1,11,0
Jermaine Burton,8,CIN,0,0,0,3,1,41,0
Ja'Marr Chase,8,CIN,0,0,0,11,9,54,1
Andrei Iosivas,8,CIN,0,0,0,3,0,0,0
Trenton Irwin,8,CIN,0,0,0,1,1,4,0
Tim Jones,9,JAX,0,0,0,2,1,10,0
Brian Thomas Jr.,9,JAX,0,0,0,4,2,22,0
Austin Trammell,9,JAX,0,0,0,3,2,40,0
Parker Washington,9,JAX,0,0,0,6,3,41,0
Jalen Brooks,10,DAL,0,0,0,4,1,4,0
CeeDee Lamb,10,DAL,1,3,0,10,6,21,0
Jalen Tolbert,10,DAL,0,0,0,5,3,14,0
Dyami Brown,11,WAS,0,0,0,2,1,4,0
Noah Brown,11,WAS,0,0,0,4,1,4,0
Luke McCaffrey,11,WAS,0,0,0,1,0,0,0
Terry McLaurin,11,WAS,0,0,0,2,1,10,0
Olamide Zaccheaus,11,WAS,0,0,0,2,1,10,0
Tutu Atwell,12,LAR,0,0,0,3,3,30,0
Tyler Johnson,12,LAR,0,0,0,1,1,11,0
Cooper Kupp,12,LAR,0,0,0,11,8,60,1
Puka Nacua,12,LAR,0,0,0,13,9,117,0
Demarcus Robinson,12,LAR,0,0,0,3,2,15,1
Nelson Agholor,13,BAL,0,0,0,2,0,0,0
Zay Flowers,13,BAL,1,-3,0,7,3,74,0
Tylan Wallace,13,BAL,0,0,0,2,2,14,0
Xavier Legette,14,CAR,0,0,0,8,2,39,0
David Moore,14,CAR,0,0,0,5,2,25,0
Adam Thielen,14,CAR,0,0,0,11,9,102,0
Deven Thompkins,14,CAR,0,0,0,1,1,7,0
Calvin Austin III,15,PIT,0,0,0,5,5,65,0
Van Jefferson,15,PIT,0,0,0,2,1,0,0
Scotty Miller,15,PIT,0,0,0,1,0,0,0
Ben Skowronek,15,PIT,0,0,0,1,1,17,0
Mike Williams,15,PIT,0,0,0,2,1,15,0
Dyami Brown,16,WAS,0,0,0,5,4,56,0
Jamison Crowder,16,WAS,0,0,0,4,2,15,2
Luke McCaffrey,16,WAS,0,0,0,3,1,13,0
Terry McLaurin,16,WAS,0,0,0,6,5,60,1
Olamide Zaccheaus,16,WAS,0,0,0,8,5,70,2
Jalen Brooks,17,DAL,0,0,0,1,1,12,0
Brandin Cooks,17,DAL,0,0,0,8,4,52,0
Ryan Flournoy,17,DAL,0,0,0,2,1,3,0
Jonathan Mingo,17,DAL,0,0,0,3,1,12,0
Jalen Tolbert,17,DAL,0,0,0,4,3,30,1
KaVontae Turpin,17,DAL,2,18,0,4,1,16,0
Jalin Hyatt,18,NYG,0,0,0,1,0,0,0
Malik Nabers,18,NYG,0,0,0,8,5,64,1
Wan'Dale Robinson,18,NYG,0,0,0,11,10,43,0
Darius Slayton,18,NYG,0,0,0,1,0,0,0
Romeo Doubs,19,GB,0,0,0,2,2,13,0
Malik Heath,19,GB,0,0,0,4,0,0,0
Bo Melton,19,GB,0,0,0,3,1,16,0
Jayden Reed,19,GB,0,0,0,4,4,46,0
Dontayvion Wicks,19,GB,0,0,0,6,2,39,0
Tutu Atwell,20,LAR,0,0,0,1,1,18,0
Cooper Kupp,20,LAR,0,0,0,7,5,61,0
Puka Nacua,20,LAR,0,0,0,14,6,97,0
Demarcus Robinson,20,LAR,0,0,0,7,3,74,0
Jordan Whittington,20,LAR,0,0,0,1,1,12,0
Dyami Brown,21,WAS,0,0,0,5,3,42,0
Jamison Crowder,21,WAS,0,0,0,3,1,4,0
Luke McCaffrey,21,WAS,0,0,0,1,0,0,0
Terry McLaurin,21,WAS,0,0,0,7,3,51,1
Olamide Zaccheaus,21,WAS,0,0,0,5,4,26,0
Marquise Brown,22,KC,0,0,0,6,2,15,0
DeAndre Hopkins,22,KC,0,0,0,5,2,18,1
JuJu Smith-Schuster,22,KC,0,0,0,2,2,16,0
Xavier Worthy,22,KC,0,0,0,8,8,157,2
