name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Kirk Cousins,1,ATL,16,26,155,1,2,1,0,0
Bo Nix,2,DEN,20,35,246,0,2,4,25,0
Taylor Heinicke,3,LAC,2,2,24,0,0,0,0,0
Justin Herbert,3,LAC,12,18,125,1,0,1,0,0
Joe Flacco,4,IND,16,26,168,2,0,2,3,0
Anthony Richardson,4,IND,3,4,71,0,0,3,24,0
Dak Prescott,5,DAL,29,42,352,2,2,1,3,0
Aidan O'Connell,6,LV,27,40,227,1,1,0,0,0
Aaron Rodgers,7,NYJ,24,39,276,1,2,0,0,0
Daniel Jones,8,NYG,24,38,264,0,1,3,1,0
Jayden Daniels,10,WAS,17,34,202,0,0,3,5,0
Lamar Jackson,11,BAL,16,33,207,1,1,4,46,0
Jameis Winston,12,CLE,18,27,219,0,1,3,7,1
Joe Burrow,13,CIN,28,38,309,3,1,2,9,0
Jameis Winston,14,CLE,24,41,212,2,2,4,28,0
Jalen Hurts,15,PHI,25,32,290,2,0,15,45,1
Lamar Jackson,16,BAL,15,23,207,3,1,9,22,0
Patrick Mahomes,17,KC,29,38,320,3,0,1,12,0
Joe Burrow,18,CIN,37,46,277,1,1,1,-1,0
Lamar Jackson,19,BAL,16,21,175,2,0,15,81,0
