name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Tyler Allgeier,1,ATL,3,21,0,0,0,0,0
Bijan Robinson,1,ATL,18,68,0,5,5,43,0
Tyler Badie,2,DEN,1,16,0,1,1,2,0
Michael Burton,2,DEN,0,0,0,1,1,1,0
Jaleel McLaughlin,2,DEN,3,6,0,0,0,0,0
Javonte Williams,2,DEN,11,17,0,5,5,48,0
J.K. Dobbins,3,LAC,15,44,0,3,3,10,0
Gus Edwards,3,LAC,3,9,0,0,0,0,0
Trey Sermon,4,IND,5,8,0,0,0,0,0
Jonathan Taylor,4,IND,21,88,1,4,3,20,0
Rico Dowdle,5,DAL,20,87,0,2,2,27,1
Ezekiel Elliott,5,DAL,6,17,0,1,0,0,0
Hunter Luepke,5,DAL,2,6,0,1,1,18,0
Ameer Abdullah,6,LV,4,24,0,5,3,14,0
Dylan Laube,6,LV,1,0,0,0,0,0,0
Alexander Mattison,6,LV,14,33,1,5,5,32,0
Braelon Allen,7,NYJ,2,4,0,1,1,2,0
Isaiah Davis,7,NYJ,1,12,0,0,0,0,0
Breece Hall,7,NYJ,12,38,1,9,6,103,0
Eric Gray,8,NYG,0,0,0,1,1,3,0
Devin Singletary,8,NYG,2,11,0,3,2,12,0
Tyrone Tracy Jr.,8,NYG,20,145,1,3,2,5,0
Austin Ekeler,10,WAS,13,44,2,2,1,7,0
Jeremy McNichols,10,WAS,4,7,1,0,0,0,0
Chris Rodriguez Jr.,10,WAS,2,4,0,0,0,0,0
Derrick Henry,11,BAL,13,65,1,0,0,0,0
Justice Hill,11,BAL,2,13,0,7,4,28,0
Patrick Ricard,11,BAL,0,0,0,1,1,5,0
Nick Chubb,12,CLE,20,59,2,1,1,1,0
Jerome Ford,12,CLE,4,19,0,1,1,8,0
Chase Brown,13,CIN,12,70,1,3,3,30,0
Khalil Herbert,13,CIN,1,14,0,0,0,0,0
Nick Chubb,14,CLE,11,48,0,1,0,0,0
Jerome Ford,14,CLE,10,28,0,4,3,19,0
Pierre Strong Jr.,14,CLE,0,0,0,2,2,9,0
Saquon Barkley,15,PHI,19,65,0,2,2,9,0
Kenneth Gainwell,15,PHI,7,20,0,3,3,40,0
Rasheen Ali,16,BAL,1,2,0,0,0,0,0
Derrick Henry,16,BAL,24,162,0,2,2,27,0
Justice Hill,16,BAL,2,30,0,1,0,0,0
Kareem Hunt,17,KC,9,20,1,0,0,0,0
Isiah Pacheco,17,KC,6,18,0,0,0,0,0
Samaje Perine,17,KC,2,9,0,2,2,20,0
Khalil Herbert,18,CIN,20,69,0,8,7,14,0
Derrick Henry,19,BAL,26,186,2,0,0,0,0
Justice Hill,19,BAL,6,12,0,4,4,13,1
