name,week,team,targ,rec,recyd,rectd
Kyle Pitts,1,ATL,3,3,26,1
Charlie Woerner,1,ATL,2,1,4,0
Nate Adkins,2,DEN,1,0,0,0
Greg Dulcich,2,DEN,8,3,16,0
Will Dissly,3,LAC,3,3,19,0
Hayden Hurst,3,LAC,2,2,15,0
Drew Ogletree,4,IND,1,1,15,1
Jake Ferguson,5,DAL,7,6,70,0
Luke Schoonmaker,5,DAL,2,1,8,0
Brevyn Spann-Ford,5,DAL,3,2,20,0
Brock Bowers,6,LV,10,9,71,0
Harrison Bryant,6,LV,5,3,24,0
Tyler Conklin,7,NYJ,4,4,7,1
Theo Johnson,8,NYG,4,3,35,0
Chris Manhertz,8,NYG,1,0,0,0
Zach Ertz,10,WAS,8,4,31,0
Mark Andrews,11,BAL,3,2,22,0
Isaiah Likely,11,BAL,5,4,75,0
Jordan Akins,12,CLE,4,3,38,0
David Njoku,12,CLE,5,1,9,0
Blake Whiteheart,12,CLE,1,1,29,0
Mike Gesicki,13,CIN,5,5,53,0
Tanner Hudson,13,CIN,4,4,28,0
Drew Sample,13,CIN,2,2,8,0
Jordan Akins,14,CLE,1,1,14,0
David Njoku,14,CLE,13,7,42,1
Blake Whiteheart,14,CLE,1,0,0,0
Grant Calcaterra,15,PHI,1,1,22,0
Mark Andrews,16,BAL,6,4,37,1
Isaiah Likely,16,BAL,3,3,29,1
Noah Gray,17,KC,1,1,6,0
Travis Kelce,17,KC,11,8,84,1
Mike Gesicki,18,CIN,10,8,68,0
Cam Grandy,18,CIN,1,1,9,0
Tanner Hudson,18,CIN,1,1,11,0
Drew Sample,18,CIN,4,4,14,0
Mark Andrews,19,BAL,3,2,27,0
Isaiah Likely,19,BAL,4,3,53,0
