name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Drake London,1,ATL,0,0,0,3,2,15,0
Ray-Ray McCloud III,1,ATL,0,0,0,7,4,52,0
Darnell Mooney,1,ATL,0,0,0,3,1,15,0
Troy Franklin,2,DEN,0,0,0,1,0,0,0
Lil'Jordan Humphrey,2,DEN,0,0,0,5,4,50,0
Marvin Mims Jr.,2,DEN,0,0,0,2,1,10,0
Josh Reynolds,2,DEN,0,0,0,5,4,93,0
Courtland Sutton,2,DEN,0,0,0,4,1,26,0
Derius Davis,3,LAC,1,8,0,0,0,0,0
Simi Fehoko,3,LAC,0,0,0,3,1,17,0
Quentin Johnston,3,LAC,0,0,0,2,2,44,1
Ladd McConkey,3,LAC,0,0,0,6,3,44,0
Josh Downs,4,IND,0,0,0,9,8,82,1
Adonai Mitchell,4,IND,1,10,0,3,0,0,0
Alec Pierce,4,IND,0,0,0,2,1,9,0
Michael Pittman Jr.,4,IND,0,0,0,9,6,113,0
Jalen Brooks,5,DAL,0,0,0,1,1,10,0
CeeDee Lamb,5,DAL,1,2,0,9,5,62,0
Jalen Tolbert,5,DAL,0,0,0,10,7,87,1
KaVontae Turpin,5,DAL,1,-6,0,5,4,50,0
Alex Bachman,6,LV,0,0,0,3,3,31,0
Tre Tucker,6,LV,0,0,0,2,0,0,0
DJ Turner,6,LV,0,0,0,4,2,37,0
Kristian Wilkerson,6,LV,0,0,0,3,2,18,1
Davante Adams,7,NYJ,0,0,0,9,3,30,0
Irvin Charles,7,NYJ,0,0,0,1,0,0,0
Allen Lazard,7,NYJ,0,0,0,4,4,58,0
Mike Williams,7,NYJ,0,0,0,2,1,15,0
Garrett Wilson,7,NYJ,0,0,0,9,5,61,0
Malik Nabers,8,NYG,0,0,0,13,7,71,0
Wan'Dale Robinson,8,NYG,0,0,0,5,5,30,0
Darius Slayton,8,NYG,0,0,0,7,4,108,0
Dyami Brown,10,WAS,0,0,0,3,2,-13,0
Noah Brown,10,WAS,0,0,0,7,3,33,0
Luke McCaffrey,10,WAS,0,0,0,3,1,23,0
Terry McLaurin,10,WAS,0,0,0,6,5,113,0
Olamide Zaccheaus,10,WAS,0,0,0,3,1,8,0
Nelson Agholor,11,BAL,0,0,0,1,0,0,0
Rashod Bateman,11,BAL,0,0,0,5,2,30,0
Zay Flowers,11,BAL,0,0,0,6,2,39,1
Diontae Johnson,11,BAL,0,0,0,2,0,0,0
Tylan Wallace,11,BAL,0,0,0,1,1,8,0
Jerry Jeudy,12,CLE,0,0,0,6,6,85,0
Elijah Moore,12,CLE,0,0,0,5,3,21,0
Cedric Tillman,12,CLE,0,0,0,4,2,28,0
Ja'Marr Chase,13,CIN,0,0,0,9,6,86,1
Tee Higgins,13,CIN,0,0,0,10,5,69,1
Andrei Iosivas,13,CIN,0,0,0,4,3,35,1
Jerry Jeudy,14,CLE,0,0,0,6,5,64,1
Elijah Moore,14,CLE,0,0,0,4,3,34,0
James Proche II,14,CLE,0,0,0,2,2,18,0
Michael Woods II,14,CLE,0,0,0,3,1,12,0
A.J. Brown,15,PHI,0,0,0,11,8,110,1
Jahan Dotson,15,PHI,0,0,0,1,0,0,0
DeVonta Smith,15,PHI,1,1,0,12,11,109,1
Johnny Wilson,15,PHI,0,0,0,1,0,0,0
Rashod Bateman,16,BAL,0,0,0,3,1,14,1
Zay Flowers,16,BAL,1,3,0,8,5,100,0
Marquise Brown,17,KC,0,0,0,7,4,46,0
DeAndre Hopkins,17,KC,0,0,0,4,2,7,0
JuJu Smith-Schuster,17,KC,0,0,0,2,2,18,0
Justin Watson,17,KC,0,0,0,2,2,60,1
Xavier Worthy,17,KC,2,10,0,9,8,79,1
Ja'Marr Chase,18,CIN,0,0,0,14,10,96,1
Tee Higgins,18,CIN,0,0,0,5,4,53,0
Andrei Iosivas,18,CIN,0,0,0,3,2,12,0
Nelson Agholor,19,BAL,0,0,0,1,1,25,0
Rashod Bateman,19,BAL,0,0,0,2,2,24,1
Anthony Miller,19,BAL,0,0,0,3,3,12,0
Steven Sims,19,BAL,1,15,0,0,0,0,0
Tylan Wallace,19,BAL,0,0,0,2,1,21,0
