name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Bo Nix,1,DEN,26,42,138,0,2,5,35,1
Jacoby Brissett,2,NE,15,27,149,1,0,2,6,0
Tim Boyle,3,MIA,7,13,79,0,0,1,6,0
Skylar Thompson,3,MIA,13,19,107,0,0,0,0,0
Jared Goff,4,DET,18,18,292,2,0,2,-2,0
Daniel Jones,5,NYG,23,34,257,2,0,11,38,0
Brock Purdy,6,SF,18,28,255,3,0,4,19,0
Kirk Cousins,7,ATL,24,35,232,1,2,1,-1,0
Michael Penix Jr.,7,ATL,1,1,14,0,0,0,0,0
Josh Allen,8,BUF,24,34,283,2,1,7,25,0
Mitchell Trubisky,8,BUF,0,0,0,0,0,3,-3,0
Matthew Stafford,9,LAR,25,44,298,2,1,1,0,0
Brock Purdy,11,SF,21,28,159,1,1,5,40,1
Kyler Murray,12,ARI,24,37,285,0,1,2,9,0
Aaron Rodgers,13,NYJ,21,39,185,2,1,2,6,0
Kyler Murray,14,ARI,25,38,259,2,2,3,16,0
Jordan Love,15,GB,20,27,229,2,0,1,4,0
Sam Darnold,16,MIN,22,35,246,3,0,5,11,0
Caleb Williams,17,CHI,16,28,122,0,1,5,37,0
Jimmy Garoppolo,18,LAR,27,41,334,2,1,2,5,0
