name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Michael Burton,1,DEN,0,0,0,1,1,3,0
Audric Estime,1,DEN,2,14,0,0,0,0,0
Jaleel McLaughlin,1,DEN,10,27,0,5,5,1,0
Javonte Williams,1,DEN,8,23,0,2,1,0,0
Antonio Gibson,2,NE,11,96,0,1,1,7,0
JaMycal Hasty,2,NE,1,2,0,0,0,0,0
Rhamondre Stevenson,2,NE,21,81,1,5,2,9,0
De'Von Achane,3,MIA,11,30,0,5,3,28,0
Alec Ingold,3,MIA,1,-2,0,3,3,16,0
Jeff Wilson Jr.,3,MIA,3,14,0,0,0,0,0
Jaylen Wright,3,MIA,2,17,0,0,0,0,0
Jahmyr Gibbs,4,DET,14,78,2,0,0,0,0
David Montgomery,4,DET,12,40,1,1,1,40,0
Eric Gray,5,NYG,4,4,0,4,3,50,0
Tyrone Tracy Jr.,5,NYG,18,129,0,2,1,1,0
Isaac Guerendo,6,SF,10,99,0,0,0,0,0
Kyle Juszczyk,6,SF,1,6,1,4,3,10,0
Jordan Mason,6,SF,9,73,0,2,1,9,0
Patrick Taylor Jr.,6,SF,5,16,0,1,1,12,0
Tyler Allgeier,7,ATL,5,36,0,1,1,9,0
Jase McClellan,7,ATL,5,17,0,0,0,0,0
Bijan Robinson,7,ATL,21,103,1,5,3,40,0
James Cook,8,BUF,17,111,2,3,3,22,0
Ray Davis,8,BUF,6,29,0,0,0,0,0
Ty Johnson,8,BUF,0,0,0,1,0,0,0
Blake Corum,9,LAR,1,-1,0,0,0,0,0
Kyren Williams,9,LAR,22,69,0,3,1,26,0
Kyle Juszczyk,11,SF,0,0,0,2,2,12,0
Jordan Mason,11,SF,2,13,0,0,0,0,0
Christian McCaffrey,11,SF,19,79,0,5,4,27,0
Trey Benson,12,ARI,4,18,0,0,0,0,0
James Conner,12,ARI,7,8,0,5,5,41,0
Emari Demercado,12,ARI,1,14,0,0,0,0,0
Braelon Allen,13,NYJ,5,11,0,2,2,16,0
Isaiah Davis,13,NYJ,1,4,0,3,3,28,1
Breece Hall,13,NYJ,12,60,0,1,0,0,0
Trey Benson,14,ARI,2,15,0,1,1,4,0
James Conner,14,ARI,18,90,0,4,4,32,1
Emari Demercado,14,ARI,0,0,0,4,4,15,0
Chris Brooks,15,GB,1,6,0,1,1,9,0
Josh Jacobs,15,GB,26,94,1,4,4,42,0
Emanuel Wilson,15,GB,3,9,0,0,0,0,0
Cam Akers,16,MIN,1,3,0,0,0,0,0
C.J. Ham,16,MIN,0,0,0,1,1,9,0
Aaron Jones,16,MIN,18,67,0,5,3,26,0
Roschon Johnson,17,CHI,4,5,0,0,0,0,0
D'Andre Swift,17,CHI,12,53,0,5,4,28,0
Blake Corum,18,LAR,2,10,0,1,1,12,0
Ronnie Rivers,18,LAR,12,48,0,5,4,34,0
Cody Schrader,18,LAR,1,3,0,1,1,6,0
