name,week,team,targ,rec,recyd,rectd
Greg Dulcich,1,DEN,3,2,12,0
Adam Trautman,1,DEN,1,0,0,0
Hunter Henry,2,NE,12,8,109,0
Austin Hooper,2,NE,1,1,5,0
Tanner Conner,3,MIA,2,1,1,0
Julian Hill,3,MIA,2,2,24,0
Jonnu Smith,3,MIA,3,2,18,0
Durham Smythe,3,MIA,2,1,3,0
Sam LaPorta,4,DET,4,4,53,0
Brock Wright,4,DET,2,2,13,0
Theo Johnson,5,NYG,5,5,48,0
George Kittle,6,SF,6,5,58,2
Kyle Pitts,7,ATL,9,7,65,0
Dalton Kincaid,8,BUF,7,4,31,1
Dawson Knox,8,BUF,2,2,50,0
Davis Allen,9,LAR,3,1,5,0
Hunter Long,9,LAR,1,1,4,0
Eric Saubert,11,SF,1,1,7,0
Elijah Higgins,12,ARI,2,1,5,0
Trey McBride,12,ARI,15,12,133,0
Tyler Conklin,13,NYJ,5,4,32,0
Jeremy Ruckert,13,NYJ,2,1,3,0
Trey McBride,14,ARI,14,7,70,0
Tip Reiman,14,ARI,1,1,14,0
Tucker Kraft,15,GB,2,2,34,0
T.J. Hockenson,16,MIN,5,2,27,0
Josh Oliver,16,MIN,1,0,0,0
Gerald Everett,17,CHI,1,0,0,0
Tyler Higbee,18,LAR,7,5,46,1
Colby Parkinson,18,LAR,1,1,6,0
