name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Lil'Jordan Humphrey,1,DEN,0,0,0,1,0,0,0
Marvin Mims Jr.,1,DEN,0,0,0,1,0,0,0
Josh Reynolds,1,DEN,0,0,0,8,5,45,0
Courtland Sutton,1,DEN,0,0,0,12,4,38,0
Devaughn Vele,1,DEN,0,0,0,8,8,39,0
K.J. Osborn,2,NE,0,0,0,2,1,7,0
Ja'Lynn Polk,2,NE,1,0,0,3,2,12,1
Braxton Berrios,3,MIA,0,0,0,1,0,0,0
Dee Eskridge,3,MIA,0,0,0,1,1,30,0
Erik Ezukanma,3,MIA,0,0,0,2,0,0,0
Tyreek Hill,3,MIA,0,0,0,5,3,40,0
Jaylen Waddle,3,MIA,0,0,0,5,4,26,0
Tim Patrick,4,DET,0,0,0,2,2,52,0
Kalif Raymond,4,DET,0,0,0,1,1,9,0
Amon-Ra St. Brown,4,DET,0,0,0,6,6,45,1
Jameson Williams,4,DET,0,0,0,2,2,80,1
Wan'Dale Robinson,5,NYG,1,4,0,9,6,36,1
Darius Slayton,5,NYG,0,0,0,11,8,122,1
Brandon Aiyuk,6,SF,0,0,0,4,2,37,0
Jauan Jennings,6,SF,0,0,0,5,3,27,0
Deebo Samuel Sr.,6,SF,4,15,0,5,3,102,1
Drake London,7,ATL,0,0,0,8,6,63,1
Ray-Ray McCloud III,7,ATL,0,0,0,4,2,9,0
Darnell Mooney,7,ATL,0,0,0,8,5,46,0
Casey Washington,7,ATL,0,0,0,1,1,14,0
Keon Coleman,8,BUF,0,0,0,7,5,70,1
Amari Cooper,8,BUF,0,0,0,2,1,3,0
Khalil Shakir,8,BUF,1,2,0,10,9,107,0
Tutu Atwell,9,LAR,0,0,0,3,1,16,0
Tyler Johnson,9,LAR,0,0,0,5,3,38,0
Cooper Kupp,9,LAR,0,0,0,14,11,104,0
Puka Nacua,9,LAR,0,0,0,4,1,11,0
Demarcus Robinson,9,LAR,0,0,0,9,6,94,2
Jauan Jennings,11,SF,0,0,0,11,10,91,1
Ricky Pearsall,11,SF,0,0,0,2,0,0,0
Deebo Samuel Sr.,11,SF,1,-1,0,7,4,22,0
Greg Dortch,12,ARI,0,0,0,2,1,5,0
Marvin Harrison Jr.,12,ARI,0,0,0,6,3,47,0
Michael Wilson,12,ARI,0,0,0,4,2,54,0
Davante Adams,13,NYJ,0,0,0,12,5,66,1
Malachi Corley,13,NYJ,1,8,0,2,0,0,0
Xavier Gipson,13,NYJ,0,0,0,1,1,-1,0
Garrett Wilson,13,NYJ,0,0,0,10,5,41,0
Greg Dortch,14,ARI,0,0,0,1,1,5,0
Marvin Harrison Jr.,14,ARI,0,0,0,8,4,49,0
Zay Jones,14,ARI,0,0,0,2,1,13,0
Michael Wilson,14,ARI,0,0,0,3,2,57,1
Romeo Doubs,15,GB,0,0,0,5,3,40,2
Jayden Reed,15,GB,3,27,0,6,5,34,0
Christian Watson,15,GB,0,0,0,6,3,56,0
Dontayvion Wicks,15,GB,0,0,0,2,2,14,0
Jordan Addison,16,MIN,0,0,0,8,5,35,1
Justin Jefferson,16,MIN,0,0,0,13,10,144,2
Jalen Nailor,16,MIN,0,0,0,2,1,5,0
Keenan Allen,17,CHI,0,0,0,8,5,25,0
DJ Moore,17,CHI,2,8,0,8,6,54,0
Rome Odunze,17,CHI,0,0,0,4,1,15,0
Tutu Atwell,18,LAR,0,0,0,8,5,37,0
Tyler Johnson,18,LAR,0,0,0,7,4,35,1
Demarcus Robinson,18,LAR,0,0,0,6,3,72,0
Xavier Smith,18,LAR,2,6,0,0,0,0,0
Jordan Whittington,18,LAR,2,12,0,4,3,86,0
