name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Aaron Rodgers,1,NYJ,13,21,167,1,1,1,-1,0
Tyrod Taylor,1,NYJ,6,8,36,1,0,1,7,0
Sam Darnold,2,MIN,17,26,268,2,1,5,32,0
Matthew Stafford,3,LAR,16,25,221,1,0,0,0,0
Jacoby Brissett,4,NE,19,32,168,1,1,2,3,0
Kyler Murray,5,ARI,19,30,195,1,1,7,83,1
Geno Smith,6,SEA,30,52,312,1,2,1,0,0
Patrick Mahomes,7,KC,16,27,154,0,2,5,39,1
Dak Prescott,8,DAL,25,38,243,2,2,1,-1,0
Baker Mayfield,10,TB,18,29,116,1,0,3,3,0
Geno Smith,11,SEA,25,32,221,0,1,4,29,1
Jordan Love,12,GB,13,23,163,2,0,1,2,0
Josh Allen,13,BUF,13,17,148,2,0,3,18,1
Mitchell Trubisky,13,BUF,1,1,4,0,0,4,-3,0
Tyson Bagent,14,CHI,1,1,6,0,0,0,0,0
Caleb Williams,14,CHI,17,23,134,2,0,4,27,0
Matthew Stafford,15,LAR,16,27,160,0,0,4,18,0
Tua Tagovailoa,16,MIA,22,34,215,1,0,2,-1,0
Jared Goff,17,DET,26,34,303,3,0,3,-3,0
Kyler Murray,18,ARI,25,35,242,4,0,3,22,0
Clayton Tune,18,ARI,0,0,0,0,0,1,2,0
