name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Braelon Allen,1,NYJ,1,8,0,1,1,9,0
Breece Hall,1,NYJ,16,54,1,6,5,39,0
Ty Chandler,2,MIN,10,82,0,0,0,0,0
Aaron Jones,2,MIN,9,32,0,6,5,36,0
Ronnie Rivers,3,LAR,2,9,0,0,0,0,0
Kyren Williams,3,LAR,24,89,2,2,2,27,1
Antonio Gibson,4,NE,6,12,0,4,3,67,0
JaMycal Hasty,4,NE,3,15,0,1,0,0,0
Rhamondre Stevenson,4,NE,13,43,0,5,4,19,0
James Conner,5,ARI,19,86,0,3,2,14,0
Emari Demercado,5,ARI,0,0,0,1,1,0,0
Zach Charbonnet,6,SEA,5,20,0,1,1,15,0
Kenneth Walker III,6,SEA,14,32,1,8,8,37,0
Kareem Hunt,7,KC,22,78,2,2,2,5,0
Samaje Perine,7,KC,2,6,0,1,1,22,0
Carson Steele,7,KC,6,17,0,0,0,0,0
Dalvin Cook,8,DAL,6,12,0,1,1,10,0
Ezekiel Elliott,8,DAL,10,34,1,1,1,4,0
Hunter Luepke,8,DAL,1,0,0,0,0,0,0
Bucky Irving,10,TB,13,73,1,3,3,14,0
Rachaad White,10,TB,10,31,0,7,6,39,1
Zach Charbonnet,11,SEA,4,3,0,2,2,2,0
Kenneth Walker III,11,SEA,14,54,1,2,2,5,0
Chris Brooks,12,GB,4,11,0,1,1,15,0
Josh Jacobs,12,GB,26,106,3,1,0,0,0
Emanuel Wilson,12,GB,9,41,0,0,0,0,0
James Cook,13,BUF,14,107,1,1,1,13,0
Ray Davis,13,BUF,11,63,1,1,1,4,0
Ty Johnson,13,BUF,5,28,0,1,1,9,0
Darrynton Evans,14,CHI,3,3,0,0,0,0,0
Travis Homer,14,CHI,0,0,0,3,3,11,0
D'Andre Swift,14,CHI,14,38,0,2,1,2,0
Blake Corum,15,LAR,3,5,0,3,2,15,0
Kyren Williams,15,LAR,29,108,0,2,2,4,0
De'Von Achane,16,MIA,17,120,1,7,6,70,0
Alec Ingold,16,MIA,1,4,0,0,0,0,0
Raheem Mostert,16,MIA,8,31,0,2,2,15,0
Jeff Wilson Jr.,16,MIA,2,12,0,0,0,0,0
Jahmyr Gibbs,17,DET,18,117,1,4,4,46,0
Jermar Jefferson,17,DET,3,9,0,0,0,0,0
Craig Reynolds,17,DET,7,31,0,2,2,35,0
Michael Carter,18,ARI,17,43,1,4,4,16,0
DeeJay Dallas,18,ARI,1,22,0,1,1,5,0
Tony Jones,18,ARI,4,55,1,0,0,0,0
