name,week,team,targ,rec,recyd,rectd
Tyler Conklin,1,NYJ,2,1,6,0
Johnny Mundt,2,MIN,3,2,12,0
Colby Parkinson,3,LAR,5,3,21,0
Hunter Henry,4,NE,3,2,12,0
Austin Hooper,4,NE,2,2,13,1
Elijah Higgins,5,ARI,1,1,2,1
Trey McBride,5,ARI,9,6,53,0
Tip Reiman,5,ARI,1,1,5,0
AJ Barner,6,SEA,1,1,13,0
Noah Fant,6,SEA,6,6,63,0
Jody Fortson,7,KC,1,0,0,0
Noah Gray,7,KC,4,4,66,0
Travis Kelce,7,KC,5,4,17,0
Jake Ferguson,8,DAL,8,6,23,0
Brevyn Spann-Ford,8,DAL,2,0,0,0
Ryan Miller,10,TB,3,1,11,0
Cade Otton,10,TB,8,5,35,0
AJ Barner,11,SEA,4,2,15,0
John FitzPatrick,12,GB,1,1,2,0
Tucker Kraft,12,GB,2,2,26,1
Zach Davidson,13,BUF,1,0,0,0
Dawson Knox,13,BUF,2,2,56,0
Quintin Morris,13,BUF,1,1,14,0
Hunter Long,15,LAR,2,2,17,0
Colby Parkinson,15,LAR,5,2,21,0
Jonnu Smith,16,MIA,6,6,62,0
Durham Smythe,16,MIA,2,1,5,0
Sam LaPorta,17,DET,8,6,64,1
Trey McBride,18,ARI,11,7,65,1
