name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Allen Lazard,1,NYJ,0,0,0,9,6,89,2
Garrett Wilson,1,NYJ,0,0,0,11,6,60,0
Justin Jefferson,2,MIN,0,0,0,7,4,133,1
Jalen Nailor,2,MIN,0,0,0,4,3,54,1
Brandon Powell,2,MIN,0,0,0,2,2,16,0
Trent Sherfield Sr.,2,MIN,0,0,0,2,1,17,0
Tutu Atwell,3,LAR,0,0,0,5,4,93,0
Tyler Johnson,3,LAR,0,0,0,4,3,20,0
Demarcus Robinson,3,LAR,0,0,0,4,1,32,0
Jordan Whittington,3,LAR,0,0,0,3,3,28,0
Kayshon Boutte,4,NE,0,0,0,1,1,11,0
DeMario Douglas,4,NE,0,0,0,3,3,13,0
K.J. Osborn,4,NE,0,0,0,5,1,3,0
Ja'Lynn Polk,4,NE,0,0,0,7,3,30,0
Tyquan Thornton,4,NE,0,0,0,1,0,0,0
Greg Dortch,5,ARI,0,0,0,2,1,7,0
Marvin Harrison Jr.,5,ARI,0,0,0,7,2,36,0
Michael Wilson,5,ARI,0,0,0,6,5,78,0
Jake Bobo,6,SEA,0,0,0,4,2,18,0
Tyler Lockett,6,SEA,0,0,0,8,4,65,1
DK Metcalf,6,SEA,0,0,0,11,3,48,0
Jaxon Smith-Njigba,6,SEA,0,0,0,9,5,53,0
Mecole Hardman,7,KC,2,38,1,2,1,17,0
Skyy Moore,7,KC,0,0,0,1,0,0,0
Justin Watson,7,KC,0,0,0,1,1,8,0
Xavier Worthy,7,KC,1,5,0,8,3,19,0
Jalen Brooks,8,DAL,0,0,0,1,0,0,0
CeeDee Lamb,8,DAL,0,0,0,17,13,146,2
Jalen Tolbert,8,DAL,0,0,0,3,3,44,0
KaVontae Turpin,8,DAL,1,11,0,4,1,16,0
Rakim Jarrett,10,TB,0,0,0,4,2,10,0
Trey Palmer,10,TB,0,0,0,1,0,0,0
Sterling Shepard,10,TB,1,3,0,3,1,7,0
Tyler Lockett,11,SEA,0,0,0,3,2,19,0
DK Metcalf,11,SEA,0,0,0,9,7,70,0
Jaxon Smith-Njigba,11,SEA,1,8,0,11,10,110,0
Romeo Doubs,12,GB,0,0,0,6,3,54,0
Malik Heath,12,GB,0,0,0,2,2,15,1
Bo Melton,12,GB,1,5,0,1,0,0,0
Jayden Reed,12,GB,0,0,0,3,3,26,0
Christian Watson,12,GB,1,4,0,3,0,0,0
Dontayvion Wicks,12,GB,0,0,0,2,1,25,0
Amari Cooper,13,BUF,0,0,0,3,3,12,0
Mack Hollins,13,BUF,0,0,0,1,1,7,1
Curtis Samuel,13,BUF,1,7,0,0,0,0,0
Khalil Shakir,13,BUF,0,0,0,7,4,30,0
Keenan Allen,14,CHI,0,0,0,5,3,30,0
Collin Johnson,14,CHI,0,0,0,1,1,6,0
DJ Moore,14,CHI,0,0,0,8,6,49,0
Rome Odunze,14,CHI,0,0,0,5,4,42,2
Tutu Atwell,15,LAR,0,0,0,2,1,6,0
Cooper Kupp,15,LAR,0,0,0,3,0,0,0
Puka Nacua,15,LAR,2,11,0,8,7,97,0
Demarcus Robinson,15,LAR,0,0,0,1,0,0,0
River Cracraft,16,MIA,0,0,0,3,1,6,0
Tyreek Hill,16,MIA,0,0,0,7,3,29,1
Malik Washington,16,MIA,0,0,0,4,3,28,0
Allen Robinson II,17,DET,0,0,0,1,1,21,0
Amon-Ra St. Brown,17,DET,0,0,0,10,8,60,1
Jameson Williams,17,DET,2,-2,1,8,5,77,1
Greg Dortch,18,ARI,1,7,0,4,4,47,2
Marvin Harrison Jr.,18,ARI,0,0,0,6,5,63,1
Zay Jones,18,ARI,0,0,0,5,4,46,0
Xavier Weaver,18,ARI,0,0,0,1,0,0,0
