name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Jayden Daniels,1,WAS,17,24,184,0,0,16,88,2
Jared Goff,2,DET,34,55,307,0,2,2,5,0
Bo Nix,3,DEN,25,36,216,0,0,9,47,1
Jalen Hurts,4,PHI,18,30,158,1,0,8,20,1
Kirk Cousins,5,ATL,42,58,509,4,1,0,0,0
Spencer Rattler,6,NO,22,40,243,1,2,4,27,0
Lamar Jackson,7,BAL,17,22,281,5,0,9,52,0
Kirk Cousins,8,ATL,23,29,276,4,0,3,16,0
Patrick Mahomes,9,KC,34,44,291,3,0,2,9,0
Brock Purdy,10,SF,25,36,353,2,0,4,17,0
Tommy DeVito,12,NYG,21,31,189,0,0,7,32,0
Drew Lock,12,NYG,1,1,3,0,0,0,0,0
Bryce Young,13,CAR,26,46,298,1,0,3,17,1
Aidan O'Connell,14,LV,11,19,104,0,1,6,6,1
Desmond Ridder,14,LV,12,18,101,0,0,2,3,0
Taylor Heinicke,15,LAC,1,1,4,0,0,0,0,0
Justin Herbert,15,LAC,21,33,195,2,1,0,0,0
Cooper Rush,16,DAL,26,35,292,1,0,3,-4,0
Bryce Young,17,CAR,15,28,203,2,0,2,8,0
Spencer Rattler,18,NO,26,42,240,1,0,1,11,0
Jayden Daniels,19,WAS,24,35,268,2,0,13,36,0
Marcus Mariota,19,WAS,0,0,0,0,0,1,2,0
