name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Austin Ekeler,1,WAS,2,10,0,4,4,52,0
Brian Robinson Jr.,1,WAS,12,40,1,4,3,49,0
Jahmyr Gibbs,2,DET,13,84,0,7,7,22,0
David Montgomery,2,DET,11,35,1,4,4,35,0
Sione Vaki,2,DET,0,0,0,1,1,17,0
Tyler Badie,3,DEN,9,70,0,0,0,0,0
Jaleel McLaughlin,3,DEN,5,7,1,1,1,7,0
Javonte Williams,3,DEN,5,12,0,4,4,29,0
Saquon Barkley,4,PHI,10,84,0,4,2,32,0
Kenneth Gainwell,4,PHI,2,9,0,1,0,0,0
Tyler Allgeier,5,ATL,6,12,0,3,3,13,0
Bijan Robinson,5,ATL,12,61,0,3,3,16,0
Alvin Kamara,6,NO,13,40,1,8,5,24,0
Jordan Mims,6,NO,1,5,0,4,2,13,0
Jamaal Williams,6,NO,2,7,0,0,0,0,0
Derrick Henry,7,BAL,15,169,0,1,1,13,1
Justice Hill,7,BAL,5,4,0,3,3,44,1
Patrick Ricard,7,BAL,0,0,0,1,0,0,0
Tyler Allgeier,8,ATL,12,33,0,0,0,0,0
Bijan Robinson,8,ATL,13,63,0,7,7,43,1
Kareem Hunt,9,KC,27,106,1,1,1,11,0
Samaje Perine,9,KC,1,10,0,5,4,25,1
Carson Steele,9,KC,3,9,0,0,0,0,0
Isaac Guerendo,10,SF,1,0,0,0,0,0,0
Jordan Mason,10,SF,1,5,0,0,0,0,0
Christian McCaffrey,10,SF,13,39,0,7,6,68,0
Eric Gray,12,NYG,1,-1,0,2,2,7,0
Devin Singletary,12,NYG,2,3,1,2,2,7,0
Tyrone Tracy Jr.,12,NYG,9,42,0,4,4,28,0
Jonathon Brooks,13,CAR,6,18,0,3,3,23,0
Chuba Hubbard,13,CAR,12,43,0,0,0,0,0
Ameer Abdullah,14,LV,1,1,0,2,1,-3,0
Sincere McCormick,14,LV,15,78,0,3,2,11,0
Gus Edwards,15,LAC,8,23,0,0,0,0,0
Kimani Vidal,15,LAC,3,9,0,3,2,13,0
Rico Dowdle,16,DAL,13,23,0,3,3,28,0
Ezekiel Elliott,16,DAL,1,1,1,0,0,0,0
Hunter Luepke,16,DAL,0,0,0,2,0,0,0
Raheem Blackshear,17,CAR,8,20,0,0,0,0,0
Mike Boone,17,CAR,2,11,0,2,0,0,0
Clyde Edwards-Helaire,18,NO,8,26,0,1,1,14,0
Jordan Mims,18,NO,2,12,0,3,3,13,0
Jamaal Williams,18,NO,8,15,0,1,1,7,0
Austin Ekeler,19,WAS,8,27,0,4,3,26,0
Jeremy McNichols,19,WAS,1,1,0,0,0,0,0
Brian Robinson Jr.,19,WAS,10,16,0,5,4,22,0
