name,week,team,targ,rec,recyd,rectd
John Bates,1,WAS,1,0,0,0
Zach Ertz,1,WAS,4,3,28,0
Sam LaPorta,2,DET,3,2,13,0
Nate Adkins,3,DEN,1,1,6,0
Adam Trautman,3,DEN,1,1,13,0
Grant Calcaterra,4,PHI,2,1,26,0
Dallas Goedert,4,PHI,8,7,62,0
Jack Stoll,4,PHI,2,1,4,0
Kyle Pitts,5,ATL,8,7,88,0
Juwan Johnson,6,NO,3,3,48,0
Foster Moreau,6,NO,2,2,54,0
Mark Andrews,7,BAL,4,4,41,2
Charlie Kolar,7,BAL,1,1,14,0
Isaiah Likely,7,BAL,4,2,17,0
Kyle Pitts,8,ATL,5,4,91,2
Charlie Woerner,8,ATL,1,1,13,0
Noah Gray,9,KC,1,0,0,0
Peyton Hendershot,9,KC,1,1,9,0
Travis Kelce,9,KC,16,14,100,0
George Kittle,10,SF,4,3,57,1
Theo Johnson,12,NYG,6,3,39,0
Feleipe Franks,13,CAR,1,0,0,0
Stephen Sullivan,13,CAR,1,0,0,0
Tommy Tremble,13,CAR,8,5,77,0
Brock Bowers,14,LV,5,3,49,0
Michael Mayer,14,LV,9,7,68,0
Tucker Fisk,15,LAC,1,1,7,0
Stone Smartt,15,LAC,6,5,50,0
Jake Ferguson,16,DAL,9,6,40,0
Luke Schoonmaker,16,DAL,1,1,3,0
Ja'Tavion Sanders,17,CAR,1,1,5,0
Dallin Holker,18,NO,3,2,11,0
Juwan Johnson,18,NO,7,6,80,0
Foster Moreau,18,NO,4,4,31,0
John Bates,19,WAS,1,0,0,0
Zach Ertz,19,WAS,4,2,23,0
