name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jamison Crowder,1,WAS,0,0,0,1,1,5,0
Luke McCaffrey,1,WAS,0,0,0,3,3,18,0
Terry McLaurin,1,WAS,0,0,0,4,2,17,0
Olamide Zaccheaus,1,WAS,0,0,0,3,1,15,0
Tom Kennedy,2,DET,0,0,0,1,0,0,0
Tim Patrick,2,DET,0,0,0,3,2,12,0
Kalif Raymond,2,DET,0,0,0,4,3,27,0
Amon-Ra St. Brown,2,DET,0,0,0,19,11,119,0
Jameson Williams,2,DET,1,15,0,11,5,79,0
Troy Franklin,3,DEN,0,0,0,5,2,11,0
Lil'Jordan Humphrey,3,DEN,0,0,0,8,6,37,0
Marvin Mims Jr.,3,DEN,0,0,0,1,1,9,0
Josh Reynolds,3,DEN,0,0,0,2,2,36,0
Courtland Sutton,3,DEN,0,0,0,11,7,68,0
Parris Campbell,4,PHI,0,0,0,4,4,17,1
Jahan Dotson,4,PHI,0,0,0,4,2,11,0
John Ross,4,PHI,0,0,0,2,1,6,0
Johnny Wilson,4,PHI,0,0,0,2,0,0,0
KhaDarel Hodge,5,ATL,0,0,0,2,2,67,1
Drake London,5,ATL,0,0,0,13,12,154,1
Ray-Ray McCloud III,5,ATL,0,0,0,9,6,66,0
Darnell Mooney,5,ATL,0,0,0,16,9,105,2
Bub Means,6,NO,0,0,0,8,5,45,1
Chris Olave,6,NO,0,0,0,1,1,5,0
Rashid Shaheed,6,NO,1,2,0,7,1,11,0
Mason Tipton,6,NO,0,0,0,2,1,15,0
Cedrick Wilson Jr.,6,NO,0,0,0,3,2,28,0
Nelson Agholor,7,BAL,0,0,0,2,1,20,0
Rashod Bateman,7,BAL,0,0,0,4,4,121,1
Zay Flowers,7,BAL,1,19,0,1,1,11,0
Drake London,8,ATL,0,0,0,6,4,34,0
Ray-Ray McCloud III,8,ATL,1,17,0,3,3,9,0
Darnell Mooney,8,ATL,0,0,0,6,4,86,1
Mecole Hardman,9,KC,0,0,0,3,3,17,0
DeAndre Hopkins,9,KC,0,0,0,9,8,86,2
Justin Watson,9,KC,0,0,0,4,3,43,0
Xavier Worthy,9,KC,2,-10,0,2,0,0,0
Jauan Jennings,10,SF,0,0,0,11,7,93,0
Ricky Pearsall,10,SF,0,0,0,6,4,73,1
Deebo Samuel Sr.,10,SF,3,14,0,6,5,62,0
Malik Nabers,12,NYG,0,0,0,9,6,64,0
Wan'Dale Robinson,12,NYG,1,0,0,5,5,47,0
Darius Slayton,12,NYG,0,0,0,2,0,0,0
Dan Chisena,13,CAR,0,0,0,1,1,6,0
Xavier Legette,13,CAR,0,0,0,8,4,53,0
David Moore,13,CAR,0,0,0,9,5,40,0
Adam Thielen,13,CAR,0,0,0,10,8,99,1
Terrace Marshall Jr.,14,LV,0,0,0,1,1,6,0
Jakobi Meyers,14,LV,0,0,0,10,7,67,0
Tre Tucker,14,LV,0,0,0,5,2,7,0
DJ Chark,15,LAC,0,0,0,2,2,16,0
Quentin Johnston,15,LAC,0,0,0,10,5,45,1
Ladd McConkey,15,LAC,0,0,0,7,5,58,1
Joshua Palmer,15,LAC,0,0,0,3,2,10,0
Brandin Cooks,16,DAL,0,0,0,3,3,48,0
Ryan Flournoy,16,DAL,0,0,0,3,3,41,0
CeeDee Lamb,16,DAL,0,0,0,8,7,105,0
Jalen Tolbert,16,DAL,0,0,0,3,2,20,1
KaVontae Turpin,16,DAL,3,11,0,1,1,7,0
Dan Chisena,17,CAR,0,0,0,1,1,8,0
Jalen Coker,17,CAR,0,0,0,2,2,35,0
Velus Jones Jr.,17,CAR,1,0,0,0,0,0,0
Xavier Legette,17,CAR,0,0,0,9,5,28,0
David Moore,17,CAR,0,0,0,1,1,17,0
Adam Thielen,17,CAR,0,0,0,6,5,110,2
Kevin Austin Jr.,18,NO,0,0,0,1,1,13,0
Dante Pettis,18,NO,0,0,0,6,2,16,1
Marquez Valdes-Scantling,18,NO,0,0,0,8,3,33,0
Cedrick Wilson Jr.,18,NO,0,0,0,5,3,22,0
Dyami Brown,19,WAS,0,0,0,5,5,89,1
Terry McLaurin,19,WAS,0,0,0,10,7,89,1
Olamide Zaccheaus,19,WAS,0,0,0,3,3,19,0
