name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Caleb Williams,1,CHI,14,29,93,0,0,5,15,0
Aaron Rodgers,2,NYJ,18,30,176,2,0,2,1,0
Malik Willis,3,GB,13,19,202,1,0,6,73,1
Tyler Huntley,4,MIA,14,22,96,0,0,8,40,1
Joe Flacco,6,IND,22,38,189,2,1,1,1,0
Josh Allen,7,BUF,21,33,323,2,0,3,1,0
Jared Goff,8,DET,12,15,85,3,0,1,1,0
Hendon Hooker,8,DET,2,3,6,0,0,0,0,0
Drake Maye,9,NE,29,41,206,1,2,8,95,0
Justin Herbert,10,LAC,14,18,164,1,0,9,32,1
Sam Darnold,11,MIN,20,32,246,2,0,8,18,1
C.J. Stroud,12,HOU,20,33,247,2,2,3,18,0
Jayden Daniels,13,WAS,25,30,206,3,1,9,34,1
Mac Jones,14,JAX,23,31,220,0,2,3,3,0
Joe Burrow,15,CIN,26,37,271,3,2,0,0,0
Anthony Richardson,16,IND,7,11,131,1,1,9,70,1
Mac Jones,17,JAX,15,22,174,2,0,6,22,0
Davis Mills,18,HOU,12,22,128,0,0,3,11,0
C.J. Stroud,18,HOU,6,6,50,1,0,0,0,0
