name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Khalil Herbert,1,CHI,2,4,0,0,0,0,0
Travis Homer,1,CHI,2,10,0,0,0,0,0
D'Andre Swift,1,CHI,10,30,0,1,0,0,0
Braelon Allen,2,NYJ,7,33,1,4,2,23,1
Breece Hall,2,NYJ,14,62,0,8,7,52,1
Chris Brooks,3,GB,3,3,0,0,0,0,0
Josh Jacobs,3,GB,14,43,0,1,1,5,0
Emanuel Wilson,3,GB,12,50,0,2,2,35,1
De'Von Achane,4,MIA,10,15,0,3,3,14,0
Jaylen Wright,4,MIA,9,32,0,1,0,0,0
Tyler Goodson,6,IND,8,51,0,5,4,14,0
Trey Sermon,6,IND,18,29,0,0,0,0,0
James Cook,7,BUF,12,32,1,0,0,0,0
Ray Davis,7,BUF,5,41,1,1,1,6,0
Ty Johnson,7,BUF,0,0,0,1,1,4,1
Jahmyr Gibbs,8,DET,11,127,1,1,1,6,0
David Montgomery,8,DET,9,33,1,1,1,5,0
Craig Reynolds,8,DET,3,3,0,0,0,0,0
Antonio Gibson,9,NE,1,-1,0,1,1,12,0
JaMycal Hasty,9,NE,1,0,0,1,1,-3,0
Rhamondre Stevenson,9,NE,10,16,1,5,5,38,1
J.K. Dobbins,10,LAC,15,50,0,3,3,5,0
Gus Edwards,10,LAC,10,55,0,0,0,0,0
Hassan Haskins,10,LAC,2,4,1,0,0,0,0
Cam Akers,11,MIN,10,25,0,2,2,11,1
Aaron Jones,11,MIN,15,39,0,1,1,4,0
Joe Mixon,12,HOU,14,22,0,6,5,23,0
Jeremy McNichols,13,WAS,6,32,0,0,0,0,0
Brian Robinson Jr.,13,WAS,16,103,1,1,1,6,0
Chris Rodriguez Jr.,13,WAS,13,94,1,0,0,0,0
Tank Bigsby,14,JAX,18,55,1,2,1,7,0
Travis Etienne Jr.,14,JAX,4,20,0,4,4,50,0
Chase Brown,15,CIN,25,97,1,3,3,16,1
Khalil Herbert,15,CIN,1,4,0,0,0,0,0
Tyler Goodson,16,IND,4,22,0,0,0,0,0
Trey Sermon,16,IND,8,25,0,0,0,0,0
Jonathan Taylor,16,IND,29,218,3,0,0,0,0
Tank Bigsby,17,JAX,11,33,0,1,0,0,0
Travis Etienne Jr.,17,JAX,15,49,0,2,1,26,0
D'Ernest Johnson,17,JAX,0,0,0,2,2,11,0
Joe Mixon,18,HOU,5,23,0,1,1,5,0
Dare Ogunbowale,18,HOU,2,-3,0,3,2,26,0
Dameon Pierce,18,HOU,19,176,1,2,0,0,0
