name,week,team,targ,rec,recyd,rectd
Gerald Everett,1,CHI,1,1,-1,0
Cole Kmet,1,CHI,1,1,4,0
Tyler Conklin,2,NYJ,2,1,10,0
Jeremy Ruckert,2,NYJ,3,0,0,0
Tucker Kraft,3,GB,3,2,24,0
Luke Musgrave,3,GB,1,1,3,0
Tanner Conner,4,MIA,2,2,15,0
Jonnu Smith,4,MIA,1,0,0,0
Mo Alie-Cox,6,IND,4,4,41,0
Kylen Granson,6,IND,1,0,0,0
Will Mallory,6,IND,1,0,0,0
Drew Ogletree,6,IND,2,2,24,0
Dalton Kincaid,7,BUF,6,3,52,0
Dawson Knox,7,BUF,3,1,5,0
Sam LaPorta,8,DET,6,6,48,1
Brock Wright,8,DET,1,1,8,1
Jaheim Bell,9,NE,1,1,1,0
Hunter Henry,9,NE,8,7,56,0
Austin Hooper,9,NE,1,1,8,0
Will Dissly,10,LAC,6,5,30,0
Hayden Hurst,10,LAC,1,0,0,0
T.J. Hockenson,11,MIN,3,2,13,0
Johnny Mundt,11,MIN,1,1,13,0
Josh Oliver,11,MIN,3,3,34,0
Dalton Schultz,12,HOU,2,2,20,0
Cade Stover,12,HOU,4,3,26,1
Zach Ertz,13,WAS,6,3,35,1
Ben Sinnott,13,WAS,1,1,3,0
Evan Engram,14,JAX,6,4,33,0
Brenton Strange,14,JAX,1,1,21,0
Mike Gesicki,15,CIN,4,3,37,0
Cam Grandy,15,CIN,2,2,12,0
Tanner Hudson,15,CIN,1,1,9,0
Drew Sample,15,CIN,1,1,8,0
Mo Alie-Cox,16,IND,2,1,15,0
Drew Ogletree,16,IND,1,0,0,0
Brenton Strange,17,JAX,1,0,0,0
Dalton Schultz,18,HOU,3,3,29,0
Cade Stover,18,HOU,1,0,0,0
