name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Baker Mayfield,1,TB,24,30,289,4,0,3,21,0
Kyle Trask,1,TB,0,0,0,0,0,2,-2,0
Daniel Jones,2,NYG,16,28,178,2,0,5,32,0
Joe Burrow,3,CIN,29,38,324,3,0,1,4,0
Kyler Murray,4,ARI,16,22,142,1,0,1,3,0
Deshaun Watson,5,CLE,15,28,125,1,0,3,14,0
Jameis Winston,5,CLE,1,1,16,0,0,1,-3,0
Lamar Jackson,6,BAL,20,26,323,1,1,11,40,0
Andy Dalton,7,CAR,11,16,93,0,2,2,3,0
Bryce Young,7,CAR,2,2,-4,0,0,0,0,0
Caleb Williams,8,CHI,10,24,131,0,0,10,41,0
Daniel Jones,9,NYG,20,26,174,2,0,7,54,1
Russell Wilson,10,PIT,14,28,195,3,1,4,3,0
Jalen Hurts,11,PHI,18,28,221,0,0,10,39,1
Trey Lance,12,DAL,0,0,0,0,0,1,-3,0
Cooper Rush,12,DAL,24,32,247,2,0,4,1,0
Will Levis,13,TEN,18,37,212,2,0,2,-3,0
Jake Haener,15,NO,4,10,49,0,1,1,7,0
Spencer Rattler,15,NO,10,21,135,1,0,0,0,0
Jalen Hurts,16,PHI,1,4,11,0,0,3,41,0
Kenny Pickett,16,PHI,14,24,143,1,1,3,13,0
Michael Penix Jr.,17,ATL,19,35,223,1,1,2,3,0
Trey Lance,18,DAL,20,34,244,0,0,6,26,0
Baker Mayfield,19,TB,15,18,185,2,0,7,23,0
Teddy Bridgewater,20,DET,1,1,3,0,0,0,0,0
Jared Goff,20,DET,23,40,313,1,3,1,7,0
Jalen Hurts,21,PHI,20,28,246,1,0,10,16,3
Kenny Pickett,21,PHI,0,0,0,0,0,2,-3,0
