name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Bucky Irving,1,TB,9,62,0,3,2,14,0
Rachaad White,1,TB,15,31,0,6,6,75,0
Devin Singletary,2,NYG,16,95,1,1,1,0,0
Tyrone Tracy Jr.,2,NYG,1,2,0,0,0,0,0
Chase Brown,3,CIN,7,62,0,3,2,7,0
Zack Moss,3,CIN,12,58,1,6,5,39,0
Trey Benson,4,ARI,9,50,0,0,0,0,0
James Conner,4,ARI,18,104,1,1,1,9,0
Emari Demercado,4,ARI,4,24,0,1,1,0,0
Jerome Ford,5,CLE,9,47,0,3,3,2,0
D'Onta Foreman,5,CLE,9,44,0,1,1,16,0
Pierre Strong Jr.,5,CLE,1,2,0,1,0,0,0
Derrick Henry,6,BAL,24,132,2,0,0,0,0
Justice Hill,6,BAL,1,2,0,1,1,2,0
Chuba Hubbard,7,CAR,17,52,1,0,0,0,0
Miles Sanders,7,CAR,3,34,0,2,1,-6,0
Roschon Johnson,8,CHI,2,6,1,0,0,0,0
D'Andre Swift,8,CHI,18,129,1,0,0,0,0
Devin Singletary,9,NYG,7,33,0,0,0,0,0
Tyrone Tracy Jr.,9,NYG,16,66,0,1,1,3,0
Najee Harris,10,PIT,21,53,1,0,0,0,0
Cordarrelle Patterson,10,PIT,3,14,0,0,0,0,0
Jaylen Warren,10,PIT,14,66,0,2,2,29,0
Saquon Barkley,11,PHI,26,146,2,3,2,52,0
Kenneth Gainwell,11,PHI,4,43,0,1,1,6,0
Rico Dowdle,12,DAL,19,86,0,3,3,12,0
Ezekiel Elliott,12,DAL,3,6,0,0,0,0,0
Hunter Luepke,12,DAL,0,0,0,1,1,10,0
Tony Pollard,13,TEN,8,35,0,6,4,33,0
Tyjae Spears,13,TEN,1,3,0,0,0,0,0
Alvin Kamara,15,NO,5,12,0,5,4,58,1
Kendre Miller,15,NO,9,46,0,1,0,0,0
Saquon Barkley,16,PHI,29,150,2,1,0,0,0
Kenneth Gainwell,16,PHI,4,7,0,1,1,6,0
Tyler Allgeier,17,ATL,3,19,0,0,0,0,0
Bijan Robinson,17,ATL,17,90,2,5,3,8,0
Rico Dowdle,18,DAL,22,72,1,3,2,12,0
Hunter Luepke,18,DAL,3,15,0,0,0,0,0
Deuce Vaughn,18,DAL,6,37,0,0,0,0,0
Bucky Irving,19,TB,17,77,0,2,2,6,1
Rachaad White,19,TB,1,1,0,2,2,14,0
Jahmyr Gibbs,20,DET,14,105,2,11,6,70,0
David Montgomery,20,DET,7,28,0,0,0,0,0
Saquon Barkley,21,PHI,15,118,3,2,1,4,0
Kenneth Gainwell,21,PHI,3,8,0,2,2,16,0
Will Shipley,21,PHI,4,77,1,0,0,0,0
