name,week,team,targ,rec,recyd,rectd
Cade Otton,1,TB,2,1,5,0
Erick All Jr.,3,CIN,4,4,22,0
Mike Gesicki,3,CIN,5,4,47,0
Elijah Higgins,4,ARI,3,2,12,0
Jordan Akins,5,CLE,3,3,22,1
David Njoku,5,CLE,3,1,14,0
Mark Andrews,6,BAL,4,3,66,1
Isaiah Likely,6,BAL,4,2,27,0
Ja'Tavion Sanders,7,CAR,6,6,61,0
Ian Thomas,7,CAR,2,2,4,0
Gerald Everett,8,CHI,2,1,3,0
Cole Kmet,8,CHI,1,1,14,0
Marcedes Lewis,8,CHI,1,0,0,0
Theo Johnson,9,NYG,6,3,51,1
Chris Manhertz,9,NYG,1,1,2,1
Pat Freiermuth,10,PIT,3,3,17,1
MyCole Pruitt,10,PIT,1,0,0,0
Darnell Washington,10,PIT,3,1,6,0
Dallas Goedert,11,PHI,5,5,61,0
Luke Schoonmaker,12,DAL,4,3,55,1
Brevyn Spann-Ford,12,DAL,2,2,24,0
Chig Okonkwo,13,TEN,6,3,27,0
Nick Vannett,13,TEN,1,1,6,0
Josh Whyle,13,TEN,3,1,3,0
Juwan Johnson,15,NO,3,2,12,0
Foster Moreau,15,NO,4,4,39,1
Kyle Pitts,17,ATL,5,4,44,1
Charlie Woerner,17,ATL,1,1,6,0
Jake Ferguson,18,DAL,4,2,12,0
Luke Schoonmaker,18,DAL,2,2,16,0
Cade Otton,19,TB,2,2,32,0
Sam LaPorta,20,DET,7,6,51,1
Dallas Goedert,21,PHI,8,7,85,0
