name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Mike Evans,1,TB,0,0,0,6,5,61,2
Chris Godwin,1,TB,0,0,0,8,8,83,1
Kameron Johnson,1,TB,1,0,0,0,0,0,0
Jalen McMillan,1,TB,0,0,0,3,1,32,1
Trey Palmer,1,TB,0,0,0,2,1,19,0
Malik Nabers,2,NYG,0,0,0,18,10,127,1
Wan'Dale Robinson,2,NYG,0,0,0,4,2,18,1
Darius Slayton,2,NYG,0,0,0,4,3,33,0
Ja'Marr Chase,3,CIN,0,0,0,7,6,118,2
Tee Higgins,3,CIN,0,0,0,6,3,39,0
Andrei Iosivas,3,CIN,0,0,0,7,5,52,1
Greg Dortch,4,ARI,0,0,0,4,4,38,0
Marvin Harrison Jr.,4,ARI,0,0,0,6,5,45,1
Michael Wilson,4,ARI,0,0,0,7,3,38,0
Amari Cooper,5,CLE,0,0,0,10,4,60,0
Jerry Jeudy,5,CLE,0,0,0,3,1,16,0
Elijah Moore,5,CLE,0,0,0,4,3,11,0
Nelson Agholor,6,BAL,0,0,0,3,1,25,0
Rashod Bateman,6,BAL,0,0,0,4,4,71,0
Zay Flowers,6,BAL,1,2,0,9,9,132,0
Jalen Coker,7,CAR,0,0,0,1,1,10,0
Diontae Johnson,7,CAR,0,0,0,3,1,17,0
Xavier Legette,7,CAR,1,6,0,3,2,3,0
Keenan Allen,8,CHI,0,0,0,7,2,39,0
DeAndre Carter,8,CHI,0,0,0,1,1,7,0
DJ Moore,8,CHI,2,7,0,4,2,27,0
Rome Odunze,8,CHI,2,13,0,6,3,41,0
Malik Nabers,9,NYG,0,0,0,11,9,59,0
Wan'Dale Robinson,9,NYG,0,0,0,4,3,10,0
Darius Slayton,9,NYG,1,11,0,3,3,49,0
Calvin Austin III,10,PIT,0,0,0,6,2,20,0
Van Jefferson,10,PIT,0,0,0,2,0,0,0
George Pickens,10,PIT,1,4,0,7,5,91,1
Mike Williams,10,PIT,0,0,0,1,1,32,1
A.J. Brown,11,PHI,0,0,0,8,5,65,0
Jahan Dotson,11,PHI,0,0,0,2,1,8,0
DeVonta Smith,11,PHI,0,0,0,6,4,29,0
Jalen Brooks,12,DAL,0,0,0,3,1,41,0
CeeDee Lamb,12,DAL,1,1,0,12,10,67,0
Jonathan Mingo,12,DAL,0,0,0,2,1,8,0
Jalen Tolbert,12,DAL,0,0,0,4,2,22,1
KaVontae Turpin,12,DAL,0,0,0,1,1,8,0
Tyler Boyd,13,TEN,0,0,0,4,3,37,0
Calvin Ridley,13,TEN,0,0,0,7,2,45,0
Nick Westbrook-Ikhine,13,TEN,0,0,0,8,3,61,2
Kevin Austin Jr.,15,NO,0,0,0,3,1,8,0
Dante Pettis,15,NO,0,0,0,5,2,24,0
Marquez Valdes-Scantling,15,NO,1,4,0,7,2,64,0
Cedrick Wilson Jr.,15,NO,0,0,0,1,0,0,0
A.J. Brown,16,PHI,0,0,0,15,8,97,1
DeVonta Smith,16,PHI,0,0,0,8,6,51,0
Chris Blair,17,ATL,0,0,0,1,0,0,0
KhaDarel Hodge,17,ATL,0,0,0,4,1,9,0
Drake London,17,ATL,0,0,0,13,7,106,0
Ray-Ray McCloud III,17,ATL,1,14,0,1,1,13,0
Darnell Mooney,17,ATL,0,0,0,5,2,37,0
Brandin Cooks,18,DAL,1,-5,0,9,3,15,0
Ryan Flournoy,18,DAL,0,0,0,2,2,14,0
Jonathan Mingo,18,DAL,0,0,0,2,2,24,0
Jalen Tolbert,18,DAL,0,0,0,6,4,98,0
KaVontae Turpin,18,DAL,1,5,0,5,3,53,0
Mike Evans,19,TB,0,0,0,7,7,92,1
Jalen McMillan,19,TB,0,0,0,4,2,41,0
Tim Patrick,20,DET,0,0,0,4,1,22,0
Kalif Raymond,20,DET,0,0,0,3,3,37,0
Amon-Ra St. Brown,20,DET,0,0,0,10,8,137,0
Jameson Williams,20,DET,1,61,1,4,1,19,0
A.J. Brown,21,PHI,0,0,0,8,6,96,1
DeVonta Smith,21,PHI,0,0,0,4,4,45,0
